DevID	 CerebusTime	 Roll	 Pitch	 Yaw
1	 1.899700	 -0.085894	 -0.026204	 2.801652
2	 1.909700	 0.453727	 -0.690329	 0.793422
1	 1.909700	 -0.083861	 -0.027400	 2.809595
2	 1.909700	 0.457756	 -0.692908	 0.793170
1	 1.919700	 -0.087975	 -0.028598	 2.810892
2	 1.919700	 0.467060	 -0.692359	 0.800394
1	 1.929700	 -0.086017	 -0.028173	 2.799025
2	 1.929700	 0.472850	 -0.694968	 0.801019
1	 1.929700	 -0.084889	 -0.029321	 2.799423
2	 1.939933	 0.485460	 -0.694594	 0.799021
1	 1.939933	 -0.088148	 -0.027951	 2.805294
2	 1.939933	 0.488643	 -0.698887	 0.798721
1	 1.949700	 -0.091424	 -0.026535	 2.804811
2	 1.949700	 0.496314	 -0.698462	 0.798677
1	 1.959700	 -0.088641	 -0.026517	 2.789861
2	 1.959700	 0.499559	 -0.701000	 0.798368
1	 1.969700	 -0.083161	 -0.025868	 2.790220
2	 1.969700	 0.506915	 -0.704046	 0.786645
1	 1.979700	 -0.082081	 -0.026180	 2.790619
2	 1.979700	 0.509289	 -0.707446	 0.786299
1	 1.979700	 -0.082721	 -0.025600	 2.791007
2	 1.989700	 0.521601	 -0.708127	 0.781880
1	 1.989700	 -0.084206	 -0.025077	 2.786214
2	 1.989700	 0.524057	 -0.710650	 0.780628
1	 1.999700	 -0.085707	 -0.025371	 2.787489
2	 1.999700	 0.530029	 -0.715141	 0.778500
1	 2.009700	 -0.080195	 -0.025742	 2.811116
2	 2.009700	 0.535089	 -0.719476	 0.776379
1	 2.019700	 -0.080832	 -0.025153	 2.812378
2	 2.019700	 0.547274	 -0.718163	 0.787600
1	 2.029700	 -0.082332	 -0.023621	 2.832232
2	 2.029700	 0.550589	 -0.722443	 0.787202
1	 2.029700	 -0.078594	 -0.023874	 2.831734
2	 2.039700	 0.552339	 -0.729367	 0.762308
1	 2.039700	 -0.077425	 -0.023282	 2.846334
2	 2.039700	 0.555650	 -0.732803	 0.762760
1	 2.049933	 -0.078919	 -0.024461	 2.846744
2	 2.049933	 0.560551	 -0.737015	 0.762704
1	 2.059700	 -0.078649	 -0.023861	 2.871917
2	 2.059700	 0.566555	 -0.739637	 0.761414
1	 2.069700	 -0.080157	 -0.024174	 2.871444
2	 2.069700	 0.572855	 -0.741404	 0.764604
1	 2.079700	 -0.082562	 -0.025231	 2.863704
2	 2.079700	 0.578022	 -0.743997	 0.762424
1	 2.079700	 -0.079699	 -0.025493	 2.863210
1	 2.089700	 -0.077698	 -0.025907	 2.877443
1	 2.099700	 -0.080080	 -0.026230	 2.876974
1	 2.109700	 -0.081531	 -0.027350	 2.877263
1	 2.119700	 -0.082151	 -0.028518	 2.877669
1	 2.129933	 -0.083577	 -0.028100	 2.896340
1	 2.129933	 -0.085077	 -0.028394	 2.897616
2	 2.139700	 0.573482	 -0.756870	 0.780121
1	 2.139700	 -0.083887	 -0.029627	 2.915307
2	 2.139700	 0.576894	 -0.759432	 0.777917
1	 2.149700	 -0.083657	 -0.029045	 2.914816
2	 2.149700	 0.588478	 -0.758982	 0.785126
1	 2.159700	 -0.083398	 -0.029440	 2.911325
2	 2.159700	 0.591881	 -0.761534	 0.784666
1	 2.169700	 -0.082283	 -0.029722	 2.910839
2	 2.169700	 0.596262	 -0.764784	 0.778026
1	 2.179700	 -0.083738	 -0.030094	 2.907963
1	 2.179700	 -0.087001	 -0.029545	 2.908363
2	 2.189933	 0.598622	 -0.769092	 0.783664
1	 2.189933	 -0.084996	 -0.028948	 2.904306
1	 2.199700	 -0.082105	 -0.031842	 2.902966
1	 2.209700	 -0.082720	 -0.029582	 2.913264
1	 2.219700	 -0.082462	 -0.030730	 2.914541
1	 2.229700	 -0.080460	 -0.030952	 2.911094
1	 2.229700	 -0.081975	 -0.030382	 2.911486
1	 2.239700	 -0.082740	 -0.029637	 2.898947
1	 2.249700	 -0.080737	 -0.030774	 2.899341
1	 2.259700	 -0.082296	 -0.031856	 2.880103
1	 2.269933	 -0.086434	 -0.031318	 2.880507
1	 2.279700	 -0.084397	 -0.031481	 2.890114
2	 2.279700	 0.591370	 -0.791606	 0.826408
1	 2.279700	 -0.083276	 -0.031745	 2.891377
1	 2.289933	 -0.084762	 -0.032843	 2.895012
1	 2.299700	 -0.085402	 -0.032263	 2.895399
1	 2.309700	 -0.085994	 -0.032516	 2.907410
1	 2.319933	 -0.086617	 -0.033694	 2.906942
2	 2.319933	 0.589753	 -0.804610	 0.844231
1	 2.329700	 -0.085504	 -0.033885	 2.897311
2	 2.329700	 0.598510	 -0.802786	 0.849432
1	 2.329700	 -0.087914	 -0.031577	 2.897688
2	 2.339933	 0.602819	 -0.804482	 0.849835
1	 2.339933	 -0.086823	 -0.032651	 2.895049
2	 2.339933	 0.604013	 -0.811674	 0.831824
1	 2.349700	 -0.085708	 -0.032933	 2.894564
2	 2.349700	 0.606574	 -0.814212	 0.830449
1	 2.359700	 -0.085445	 -0.032296	 2.895728
2	 2.359700	 0.611713	 -0.818385	 0.812868
1	 2.369933	 -0.086089	 -0.031726	 2.895242
2	 2.369933	 0.614261	 -0.821809	 0.811466
1	 2.371000	 -0.084972	 -0.031169	 2.895283
2	 2.379933	 0.618488	 -0.821417	 0.817402
1	 2.389933	 -0.086469	 -0.032357	 2.894819
2	 2.389933	 0.621867	 -0.825727	 0.816889
1	 2.389933	 -0.083650	 -0.030774	 2.893944
2	 2.389933	 0.635801	 -0.824012	 0.828941
1	 2.399933	 -0.084291	 -0.030194	 2.894331
2	 2.399933	 0.640140	 -0.827445	 0.827549
1	 2.409700	 -0.084084	 -0.030426	 2.900604
2	 2.409700	 0.646503	 -0.828791	 0.827026
1	 2.419933	 -0.084714	 -0.030720	 2.901001
2	 2.419933	 0.649123	 -0.831303	 0.825620
1	 2.429933	 -0.083584	 -0.029976	 2.894168
2	 2.429933	 0.658779	 -0.832001	 0.824089
1	 2.439933	 -0.083347	 -0.029375	 2.895426
2	 2.439933	 0.664001	 -0.835454	 0.823556
1	 2.439933	 -0.083952	 -0.029788	 2.885478
2	 2.439933	 0.667260	 -0.836686	 0.819555
1	 2.449933	 -0.083715	 -0.030090	 2.884123
2	 2.449933	 0.670795	 -0.838340	 0.818145
1	 2.459700	 -0.084372	 -0.030389	 2.899097
2	 2.459700	 0.677091	 -0.839029	 0.815778
1	 2.469933	 -0.084991	 -0.031557	 2.899504
2	 2.469933	 0.681463	 -0.842449	 0.814359
1	 2.479933	 -0.085629	 -0.030925	 2.887145
2	 2.479933	 0.693059	 -0.838608	 0.826745
1	 2.490000	 -0.085370	 -0.032072	 2.888421
2	 2.490000	 0.698319	 -0.842037	 0.826197
1	 2.490000	 -0.085995	 -0.032405	 2.878482
2	 2.490000	 0.703297	 -0.843226	 0.828883
1	 2.499933	 -0.085761	 -0.031814	 2.878865
2	 2.499933	 0.707675	 -0.846631	 0.829198
1	 2.509700	 -0.085541	 -0.032984	 2.886594
2	 2.509700	 0.709095	 -0.848683	 0.822690
1	 2.519933	 -0.086167	 -0.033268	 2.887865
2	 2.519933	 0.713530	 -0.850337	 0.822140
1	 2.529933	 -0.085925	 -0.032819	 2.871543
2	 2.529933	 0.720093	 -0.851538	 0.824958
1	 2.539933	 -0.085677	 -0.033093	 2.872810
2	 2.539933	 0.725385	 -0.855820	 0.822641
1	 2.539933	 -0.085441	 -0.031773	 2.879815
1	 2.549700	 -0.083448	 -0.032034	 2.880200
2	 2.549700	 0.730358	 -0.857295	 0.832489
1	 2.559700	 -0.083235	 -0.032308	 2.862785
1	 2.569700	 -0.082131	 -0.031716	 2.862290
2	 2.569700	 0.730225	 -0.863221	 0.837119
1	 2.579933	 -0.081851	 -0.031180	 2.873368
2	 2.579933	 0.737571	 -0.865241	 0.834483
1	 2.589700	 -0.081610	 -0.031473	 2.872887
2	 2.589700	 0.742026	 -0.868617	 0.833021
1	 2.589700	 -0.081355	 -0.032676	 2.871642
1	 2.599933	 -0.082863	 -0.032991	 2.871169
2	 2.599933	 0.745983	 -0.872269	 0.834385
1	 2.609933	 -0.080880	 -0.033291	 2.857136
2	 2.609933	 0.748655	 -0.875608	 0.834656
1	 2.619933	 -0.081513	 -0.033595	 2.856658
2	 2.619933	 0.754483	 -0.875745	 0.835246
1	 2.629933	 -0.082147	 -0.033939	 2.855255
1	 2.639933	 -0.081903	 -0.034222	 2.855648
2	 2.639933	 0.757931	 -0.880000	 0.839016
1	 2.639933	 -0.082515	 -0.034521	 2.843994
2	 2.639933	 0.762162	 -0.881387	 0.829920
1	 2.649933	 -0.083156	 -0.033941	 2.844381
1	 2.659700	 -0.083813	 -0.034356	 2.833737
2	 2.659700	 0.764715	 -0.886494	 0.833670
1	 2.669933	 -0.084432	 -0.035524	 2.834143
1	 2.679933	 -0.085073	 -0.034925	 2.838424
1	 2.689933	 -0.083951	 -0.035187	 2.839687
1	 2.689933	 -0.083710	 -0.035516	 2.832138
2	 2.689933	 0.766682	 -0.891807	 0.845969
1	 2.699933	 -0.084340	 -0.035810	 2.832535
1	 2.709700	 -0.084090	 -0.035224	 2.842738
2	 2.709700	 0.769220	 -0.897782	 0.849706
1	 2.720000	 -0.082989	 -0.034642	 2.841368
2	 2.720000	 0.769758	 -0.898009	 0.849778
1	 2.729933	 -0.083653	 -0.033158	 2.843580
2	 2.729933	 0.774210	 -0.900508	 0.850053
1	 2.739933	 -0.082545	 -0.032555	 2.843959
2	 2.739933	 0.779554	 -0.900197	 0.861204
1	 2.739933	 -0.081439	 -0.032041	 2.830314
2	 2.739933	 0.782331	 -0.901743	 0.859732
1	 2.749933	 -0.080321	 -0.032313	 2.830703
2	 2.749933	 0.787469	 -0.904798	 0.858698
