DevID	 CerebusTime	 Roll	 Pitch	 Yaw
1	 59875.897967	 0.001687	 -0.002133	 -0.008907
2	 59875.897967	 -0.003221	 0.000907	 0.004339
1	 59875.907967	 0.002601	 -0.004113	 -0.010527
2	 59875.907967	 -0.007142	 0.005052	 -0.004050
1	 59875.917967	 0.007794	 -0.006958	 -0.011329
2	 59875.917967	 -0.008725	 0.003750	 -0.001572
1	 59875.927967	 0.008725	 -0.008096	 -0.012939
2	 59875.927967	 -0.013789	 0.012466	 -0.016425
1	 59875.927967	 0.013239	 -0.017029	 -0.013390
2	 59875.927967	 -0.015448	 0.011200	 -0.015745
1	 59875.937967	 0.015056	 -0.017362	 -0.015872
2	 59875.937967	 -0.020501	 0.010404	 -0.019773
1	 59875.947967	 0.018074	 -0.011069	 -0.016165
2	 59875.947967	 -0.023084	 0.010863	 -0.019128
1	 59875.957967	 0.020772	 -0.010500	 -0.019514
2	 59875.957967	 -0.023413	 0.011981	 -0.016432
1	 59875.957967	 0.022555	 -0.017320	 -0.019961
2	 59875.967967	 -0.025062	 0.009846	 -0.014893
1	 59875.967967	 0.023515	 -0.018534	 -0.023262
2	 59875.967967	 -0.024347	 0.011597	 -0.012508
1	 59875.977967	 0.024673	 -0.024060	 -0.027088
2	 59875.977967	 -0.025992	 0.009475	 -0.010964
1	 59875.987967	 0.026503	 -0.024447	 -0.031281
2	 59875.987967	 -0.027740	 0.010557	 -0.008528
1	 59875.997967	 0.027613	 -0.017926	 -0.029122
2	 59875.997967	 -0.029382	 0.009323	 -0.006114
1	 59876.007967	 0.029475	 -0.018255	 -0.030673
2	 59876.007967	 -0.027938	 0.004623	 -0.001014
1	 59876.007967	 0.031032	 -0.019533	 -0.031699
2	 59876.017967	 -0.029614	 0.004213	 -0.000361
1	 59876.017967	 0.032905	 -0.020747	 -0.033223
2	 59876.017967	 -0.033667	 0.006609	 -0.006085
1	 59876.027967	 0.030681	 -0.023723	 -0.043385
2	 59876.027967	 -0.035321	 0.004472	 -0.004560
1	 59876.037967	 0.034277	 -0.023230	 -0.046710
2	 59876.037967	 -0.040437	 0.004497	 -0.011789
1	 59876.047967	 0.033212	 -0.026957	 -0.053073
2	 59876.047967	 -0.042159	 0.004985	 -0.010326
1	 59876.057967	 0.035048	 -0.025612	 -0.057275
2	 59876.057967	 -0.047729	 0.003010	 -0.013975
1	 59876.057967	 0.034555	 -0.026610	 -0.058823
2	 59876.067967	 -0.048551	 0.000875	 -0.012519
1	 59876.067967	 0.036392	 -0.027021	 -0.063001
2	 59876.067967	 -0.048299	 0.001047	 -0.006643
1	 59876.077967	 0.034094	 -0.028186	 -0.070508
2	 59876.077967	 -0.050872	 -0.000241	 -0.005161
1	 59876.087967	 0.035041	 -0.028608	 -0.074700
2	 59876.087967	 -0.048175	 -0.003301	 0.003025
1	 59876.097967	 0.039944	 -0.033526	 -0.071809
2	 59876.097967	 -0.050732	 -0.004608	 0.004520
1	 59876.097967	 -0.000000	 0.000000	 -0.000000
2	 59876.107967	 -0.000000	 0.000000	 -0.000000
1	 59876.107967	 -0.000074	 0.001607	 -0.000764
2	 59876.117967	 -0.001710	 -0.000435	 0.001452
1	 59876.117967	 0.001773	 0.001147	 -0.004927
2	 59876.117967	 -0.005916	 0.000276	 -0.004769
1	 59876.127967	 0.002775	 0.002680	 -0.010134
2	 59876.127967	 -0.009344	 -0.002800	 -0.002418
1	 59876.137967	 0.004613	 0.002215	 -0.015170
2	 59876.137967	 -0.009438	 -0.005193	 0.001156
1	 59876.147967	 0.004638	 0.004106	 -0.021168
2	 59876.147967	 -0.011140	 -0.006515	 0.003461
1	 59876.157967	 0.007363	 0.003664	 -0.024462
2	 59876.157967	 -0.012950	 -0.005358	 0.002972
1	 59876.157967	 0.010832	 0.008153	 -0.022801
2	 59876.167967	 -0.016431	 -0.005841	 0.004410
1	 59876.167967	 0.013580	 0.009480	 -0.026079
2	 59876.167967	 -0.016851	 -0.004294	 0.003070
1	 59876.177967	 0.013020	 0.003126	 -0.029001
2	 59876.177967	 -0.020326	 -0.005645	 0.004508
1	 59876.187967	 0.014929	 0.004455	 -0.027903
2	 59876.187967	 -0.018374	 -0.004258	 0.006115
1	 59876.197967	 0.014460	 0.007583	 -0.039284
2	 59876.197967	 -0.022706	 -0.004710	 0.009310
1	 59876.207967	 0.016337	 0.007165	 -0.039935
2	 59876.207967	 -0.022576	 -0.002067	 0.007416
1	 59876.207967	 0.015133	 0.012451	 -0.046572
