// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
00765		0.223614	0.755838	37.435573
00766		0.219556	0.748020	37.447900
00767		0.217635	0.742717	37.461005
00768		0.213551	0.733925	37.475083
00769		0.212095	0.726951	37.489117
00770		0.208612	0.719851	37.502300
00771		0.202563	0.712735	37.517272
00772		0.200652	0.706451	37.530423
00773		0.198080	0.700159	37.542703
00774		0.193596	0.694167	37.555036
00775		0.190030	0.686934	37.568413
00776		0.185931	0.680362	37.581522
00777		0.182197	0.672549	37.595687
00778		0.178641	0.667034	37.607929
00779		0.172966	0.660560	37.620849
00780		0.169615	0.655000	37.632185
00781		0.168092	0.647229	37.643945
00782		0.164291	0.643574	37.654401
00783		0.163374	0.636233	37.666506
00784		0.159318	0.629456	37.680129
00785		0.156363	0.625361	37.694464
00786		0.153479	0.617756	37.708445
00787		0.152372	0.614652	37.722725
00788		0.150122	0.607186	37.733359
00789		0.146734	0.601827	37.744871
00790		0.140911	0.598461	37.757683
00791		0.142138	0.596628	37.768059
00792		0.137315	0.593330	37.778283
00793		0.136314	0.590276	37.789612
00794		0.134384	0.586121	37.801200
00795		0.131643	0.584418	37.810939
00796		0.130686	0.582124	37.822307
00797		0.126826	0.580915	37.834073
00798		0.126749	0.580050	37.843105
00799		0.126470	0.576434	37.859175
00800		0.124195	0.572546	37.873565
00801		0.120057	0.571271	37.878265
00802		0.119323	0.569466	37.890215
00803		0.113148	0.560704	37.900074
00804		0.107663	0.553979	37.907645
00805		0.103259	0.553277	37.907791
00806		0.104414	0.556610	37.912994
00807		0.102553	0.553668	37.922113
00808		0.101574	0.556215	37.925264
00809		0.098041	0.554204	37.929589
00810		0.090884	0.550435	37.935673
00811		0.086190	0.541252	37.946441
00812		0.078830	0.535509	37.945715
00813		0.073702	0.527678	37.955611
00814		0.076597	0.527369	37.973056
00815		0.071650	0.526496	37.973439
00816		0.071995	0.525592	37.982720
00817		0.070205	0.523523	37.989394
00818		0.062229	0.517513	37.992723
