DevID	 CerebusTime	 Roll	 Pitch	 Yaw
2	 64371.382967	 -0.014571	 -0.021924	 0.004238
1	 64371.382967	 0.052072	 0.024023	 -0.006589
2	 64371.382967	 -0.017756	 -0.037704	 0.009102
1	 64371.382967	 0.097002	 0.035774	 -0.007091
2	 64371.392967	 -0.014789	 -0.057717	 0.016114
1	 64371.392967	 0.133137	 0.047838	 -0.007438
2	 64371.402967	 -0.002431	 -0.070068	 0.023976
1	 64371.402967	 0.143016	 0.051110	 -0.007315
2	 64371.412967	 0.015176	 -0.086125	 0.036624
1	 64371.412967	 0.140168	 0.053181	 -0.005473
2	 64371.422967	 0.042130	 -0.094459	 0.048276
1	 64371.422967	 0.117107	 0.056749	 -0.004135
2	 64371.422967	 0.064267	 -0.110722	 0.062457
1	 64371.432967	 0.087245	 0.071393	 -0.003565
2	 64371.432967	 0.090802	 -0.121116	 0.077607
1	 64371.432967	 0.048939	 0.089605	 0.000977
2	 64371.442967	 0.105261	 -0.138748	 0.093879
1	 64371.442967	 0.022512	 0.116431	 0.009950
2	 64371.452967	 0.118227	 -0.152164	 0.108619
1	 64371.452967	 -0.000501	 0.143950	 0.022632
2	 64371.462967	 0.000000	 0.000000	 0.000000
1	 64371.462967	 -0.000000	 -0.000000	 0.000000
2	 64371.472967	 -0.006585	 -0.018458	 0.014790
1	 64371.472967	 0.006755	 0.027296	 0.009161
2	 64371.472967	 -0.017869	 -0.042710	 0.024958
1	 64371.482967	 0.028905	 0.051756	 0.018640
2	 64371.482967	 -0.021819	 -0.061505	 0.036104
1	 64371.482967	 0.049127	 0.067395	 0.026343
2	 64371.492967	 -0.028065	 -0.083294	 0.049680
1	 64371.492967	 0.067038	 0.082887	 0.029764
2	 64371.502967	 -0.022689	 -0.097907	 0.063950
1	 64371.502967	 0.074284	 0.090355	 0.026922
2	 64371.512967	 -0.007986	 -0.116479	 0.082857
1	 64371.512967	 0.080393	 0.100983	 0.025811
2	 64371.522967	 0.028811	 -0.128575	 0.095641
1	 64371.522967	 0.071222	 0.105213	 0.033774
2	 64371.532967	 0.068034	 -0.145691	 0.112517
1	 64371.532967	 0.049307	 0.110367	 0.048750
2	 64371.532967	 0.111730	 -0.155896	 0.128655
1	 64371.532967	 0.017775	 0.114648	 0.056734
2	 64371.542967	 0.000000	 -0.000000	 -0.000000
1	 64371.542967	 -0.000000	 0.000000	 0.000000
2	 64371.552967	 0.040141	 -0.010367	 0.011029
1	 64371.552967	 -0.036083	 0.018264	 -0.005382
2	 64371.562967	 0.065347	 -0.029585	 0.023201
1	 64371.562967	 -0.081329	 0.048336	 -0.009124
2	 64371.572967	 0.086653	 -0.043354	 0.035633
1	 64371.572967	 -0.142449	 0.077522	 -0.008541
2	 64371.582967	 0.093724	 -0.064816	 0.051201
1	 64371.582967	 -0.192798	 0.106024	 -0.003524
2	 64371.582967	 0.107101	 -0.078179	 0.066074
1	 64371.582967	 -0.231336	 0.124760	 0.005534
2	 64371.592967	 0.121397	 -0.095659	 0.078791
1	 64371.592967	 -0.248335	 0.140011	 0.018242
2	 64371.602967	 0.151629	 -0.103593	 0.093156
1	 64371.602967	 -0.264730	 0.148368	 0.035808
2	 64371.612967	 0.183648	 -0.115533	 0.106139
1	 64371.612967	 -0.282220	 0.155409	 0.045746
2	 64371.622967	 0.221463	 -0.119650	 0.120807
1	 64371.622967	 -0.319316	 0.161870	 0.047993
2	 64371.632967	 0.000000	 0.000000	 0.000000
1	 64371.632967	 -0.000000	 -0.000000	 -0.000000
2	 64371.632967	 0.027433	 -0.004226	 0.018915
1	 64371.632967	 -0.051075	 0.000460	 -0.002661
2	 64371.642967	 0.051182	 -0.012628	 0.040448
1	 64371.642967	 -0.088180	 -0.002322	 0.001469
2	 64371.652967	 0.077958	 -0.016978	 0.062252
1	 64371.652967	 -0.117095	 -0.011708	 0.007233
2	 64371.662967	 0.105311	 -0.024265	 0.090761
1	 64371.662967	 -0.130534	 -0.021038	 0.016564
2	 64371.672967	 0.144208	 -0.024391	 0.119026
1	 64371.672967	 -0.148157	 -0.031365	 0.030652
2	 64371.682967	 0.177774	 -0.025551	 0.151052
