DevID	 CerebusTime	 Roll	 Pitch	 Yaw
2	 4866.897967	 0.064712	 0.077762	 0.058199
1	 4866.907967	 0.049003	 0.140238	 0.067439
2	 4866.907967	 0.127556	 0.150883	 0.116548
1	 4866.907967	 0.086393	 0.196558	 0.086856
2	 4866.917967	 0.194112	 0.225527	 0.177803
1	 4866.917967	 0.128428	 0.253831	 0.101536
2	 4866.927967	 0.259591	 0.295763	 0.231814
1	 4866.927967	 0.166254	 0.295892	 0.107408
2	 4866.927967	 0.335648	 0.365954	 0.290043
1	 4866.937967	 0.205783	 0.340209	 0.108211
2	 4866.937967	 0.420180	 0.422844	 0.331400
1	 4866.937967	 0.242675	 0.370187	 0.100352
2	 4866.947967	 0.514457	 0.473364	 0.378554
1	 4866.947967	 0.288074	 0.407801	 0.099220
2	 4866.957967	 0.610404	 0.512989	 0.405840
1	 4866.957967	 0.336588	 0.432763	 0.098989
2	 4866.967967	 0.711909	 0.550546	 0.445067
1	 4866.967967	 0.395553	 0.458310	 0.103355
2	 4866.977967	 0.804335	 0.578308	 0.463639
1	 4866.977967	 0.460033	 0.471786	 0.102712
2	 4866.977967	 -0.000000	 0.000000	 -0.000000
1	 4866.979400	 -0.000000	 0.000000	 0.000000
2	 4866.987967	 0.074008	 0.019978	 0.025309
1	 4866.987967	 0.075318	 0.000991	 0.000925
2	 4866.997967	 0.148372	 0.042909	 0.052398
1	 4866.997967	 0.148898	 0.008371	 -0.000041
2	 4867.007967	 0.218132	 0.058601	 0.064013
1	 4867.007967	 0.213831	 0.006804	 -0.004530
2	 4867.017967	 0.292151	 0.076989	 0.071184
1	 4867.017967	 0.277255	 0.021634	 -0.002413
2	 4867.027967	 0.365406	 0.084344	 0.055059
1	 4867.027967	 0.332934	 0.036215	 -0.008366
2	 4867.027967	 0.440675	 0.097803	 0.047779
1	 4867.029600	 0.388901	 0.064868	 0.007056
2	 4867.037967	 0.507606	 0.100126	 0.018397
1	 4867.037967	 0.434423	 0.084639	 0.016941
2	 4867.047967	 0.570465	 0.114671	 0.008348
1	 4867.047967	 0.472588	 0.105530	 0.031940
2	 4867.057967	 0.619374	 0.125203	 -0.010124
1	 4867.057967	 0.488851	 0.116723	 0.045932
2	 4867.067967	 0.000000	 0.000000	 -0.000000
1	 4867.067967	 -0.000000	 0.000000	 -0.000000
2	 4867.077967	 0.013907	 0.018424	 -0.013401
1	 4867.077967	 -0.028928	 0.011458	 -0.012415
2	 4867.077967	 0.018733	 0.046026	 -0.004746
1	 4867.087967	 -0.069713	 0.036075	 -0.024155
2	 4867.087967	 0.026285	 0.066394	 -0.015215
1	 4867.087967	 -0.113493	 0.052882	 -0.044453
2	 4867.097967	 0.041168	 0.095780	 0.000603
1	 4867.097967	 -0.150503	 0.081070	 -0.057902
2	 4867.107967	 0.063551	 0.117961	 0.005978
1	 4867.107967	 -0.175786	 0.098049	 -0.074917
2	 4867.117967	 0.102280	 0.141905	 0.029326
1	 4867.117967	 -0.180195	 0.116375	 -0.080409
2	 4867.127967	 0.154474	 0.157463	 0.042210
1	 4867.127967	 -0.164843	 0.120409	 -0.079961
2	 4867.127967	 0.216393	 0.181980	 0.067189
1	 4867.130000	 -0.128379	 0.131039	 -0.076411
2	 4867.137967	 0.282272	 0.201704	 0.081866
1	 4867.137967	 -0.077164	 0.134102	 -0.077918
2	 4867.147967	 -0.000000	 -0.000000	 -0.000000
1	 4867.147967	 -0.000000	 0.000000	 -0.000000
2	 4867.157967	 0.075228	 0.015731	 0.023785
1	 4867.157967	 0.084392	 0.010642	 0.009496
2	 4867.167967	 0.159271	 0.032872	 0.049125
1	 4867.167967	 0.188190	 0.036555	 0.031753
2	 4867.177967	 0.244297	 0.040989	 0.056259
1	 4867.177967	 0.303553	 0.046049	 0.070262
2	 4867.177967	 0.334363	 0.047769	 0.071359
1	 4867.187967	 0.424097	 0.067428	 0.123425
2	 4867.187967	 0.406718	 0.048304	 0.082558
1	 4867.187967	 0.531180	 0.077058	 0.174240
2	 4867.197967	 0.459962	 0.051703	 0.101227
1	 4867.197967	 0.620709	 0.088037	 0.237092
2	 4867.207967	 0.485534	 0.053084	 0.120685
1	 4867.207967	 0.674447	 0.084595	 0.294164
2	 4867.217967	 0.490116	 0.059851	 0.151400
1	 4867.217967	 0.695670	 0.094487	 0.355352
2	 4867.217967	 0.474718	 0.067464	 0.182167
1	 4867.227967	 0.681337	 0.105186	 0.414305
2	 4867.227967	 -0.000000	 0.000000	 0.000000
1	 4867.231900	 -0.000000	 -0.000000	 0.000000
2	 4867.237967	 -0.042357	 0.009673	 0.050887
1	 4867.237967	 -0.079102	 0.035339	 0.071004
2	 4867.247967	 -0.088482	 0.027288	 0.109612
1	 4867.247967	 -0.185006	 0.080783	 0.137043
2	 4867.257967	 -0.136354	 0.043890	 0.170868
1	 4867.257967	 -0.307338	 0.111230	 0.194599
2	 4867.267967	 -0.176827	 0.068764	 0.244339
1	 4867.267967	 -0.419723	 0.144858	 0.252632
2	 4867.267967	 -0.218234	 0.099655	 0.325367
1	 4867.267967	 -0.509698	 0.162560	 0.316426
2	 4867.277967	 -0.253922	 0.137667	 0.418153
1	 4867.277967	 -0.566912	 0.193447	 0.377237
2	 4867.287967	 -0.279171	 0.177246	 0.515558
1	 4867.287967	 -0.600715	 0.211379	 0.434763
2	 4867.297967	 -0.286604	 0.221662	 0.626849
1	 4867.297967	 -0.611972	 0.242857	 0.489255
2	 4867.307967	 -0.276617	 0.261036	 0.742157
1	 4867.307967	 -0.604903	 0.261150	 0.525293
2	 4867.317967	 -0.000000	 -0.000000	 0.000000
1	 4867.317967	 -0.000000	 0.000000	 -0.000000
2	 4867.317967	 0.053924	 0.036965	 0.114781
1	 4867.327967	 0.061062	 0.020270	 0.054475
2	 4867.327967	 0.126765	 0.072231	 0.220748
1	 4867.327967	 0.150971	 0.054056	 0.121090
2	 4867.337967	 0.201853	 0.104722	 0.315549
1	 4867.337967	 0.256842	 0.080111	 0.185899
2	 4867.347967	 0.275502	 0.134805	 0.409018
1	 4867.347967	 0.379216	 0.118691	 0.274732
2	 4867.357967	 0.327283	 0.161118	 0.499259
1	 4867.357967	 0.485330	 0.143063	 0.365029
2	 4867.367967	 0.361403	 0.187716	 0.591026
1	 4867.367967	 0.572846	 0.177630	 0.448063
2	 4867.367967	 0.371074	 0.213574	 0.682365
1	 4867.377967	 0.630858	 0.196529	 0.528672
2	 4867.377967	 0.357680	 0.242476	 0.770414
1	 4867.377967	 0.666635	 0.218373	 0.595105
2	 4867.387967	 0.323812	 0.270715	 0.856577
1	 4867.387967	 0.685209	 0.228030	 0.659968
2	 4867.397967	 -0.000000	 0.000000	 -0.000000
1	 4867.397967	 -0.000000	 -0.000000	 0.000000
2	 4867.407967	 -0.039075	 0.029718	 0.071027
1	 4867.407967	 -0.014506	 0.012795	 0.022628
2	 4867.417967	 -0.062379	 0.062515	 0.128594
1	 4867.417967	 -0.031623	 0.037253	 0.063876
2	 4867.417967	 -0.068083	 0.094788	 0.173246
1	 4867.427967	 -0.051267	 0.055084	 0.095306
2	 4867.427967	 -0.050745	 0.127093	 0.205787
1	 4867.427967	 -0.060277	 0.090183	 0.136830
2	 4867.437967	 -0.018292	 0.161681	 0.226717
1	 4867.437967	 -0.070675	 0.121946	 0.162780
2	 4867.447967	 0.020700	 0.197520	 0.238905
1	 4867.447967	 -0.077811	 0.170764	 0.193278
2	 4867.457967	 0.062698	 0.234888	 0.242554
1	 4867.457967	 -0.090606	 0.212306	 0.213164
2	 4867.467967	 0.103969	 0.275869	 0.248043
1	 4867.467967	 -0.096303	 0.268883	 0.230888
2	 4867.467967	 0.140201	 0.320012	 0.254873
1	 4867.477967	 -0.098727	 0.315402	 0.246092
2	 4867.477967	 0.000000	 0.000000	 -0.000000
1	 4867.477967	 0.000000	 0.000000	 0.000000
2	 4867.487967	 0.028113	 0.047671	 0.012508
1	 4867.487967	 0.005758	 0.050860	 0.001957
2	 4867.497967	 0.062270	 0.095090	 0.026406
1	 4867.497967	 0.016017	 0.109442	 -0.004993
2	 4867.507967	 0.113529	 0.145528	 0.029280
1	 4867.507967	 0.027591	 0.152145	 -0.036181
2	 4867.517967	 0.188183	 0.195418	 0.025431
1	 4867.517967	 0.065299	 0.202242	 -0.055613
2	 4867.517967	 0.282015	 0.240442	 0.007286
1	 4867.527967	 0.130728	 0.241601	 -0.083892
2	 4867.527967	 0.397182	 0.280843	 -0.020887
1	 4867.527967	 0.229841	 0.293912	 -0.095938
2	 4867.537967	 0.521139	 0.312597	 -0.057020
1	 4867.537967	 0.344400	 0.336549	 -0.119105
2	 4867.547967	 0.648172	 0.344079	 -0.097107
1	 4867.547967	 0.475847	 0.391361	 -0.127853
2	 4867.557967	 0.764812	 0.374253	 -0.140515
1	 4867.557967	 0.604312	 0.428154	 -0.146633
2	 4867.567967	 0.000000	 -0.000000	 -0.000000
1	 4867.567967	 -0.000000	 0.000000	 -0.000000
2	 4867.567967	 0.092081	 0.033130	 -0.044884
1	 4867.577967	 0.105927	 0.019158	 -0.046201
2	 4867.577967	 0.183738	 0.069303	 -0.092713
1	 4867.577967	 0.201159	 0.036684	 -0.085986
2	 4867.587967	 0.268671	 0.099084	 -0.146732
1	 4867.587967	 0.271471	 0.037817	 -0.138547
2	 4867.597967	 0.351008	 0.125502	 -0.208998
1	 4867.597967	 0.329140	 0.046997	 -0.188654
2	 4867.607967	 0.435248	 0.146643	 -0.283780
1	 4867.607967	 0.372797	 0.046729	 -0.247338
2	 4867.617967	 0.513394	 0.169972	 -0.366573
1	 4867.617967	 0.423985	 0.070669	 -0.292683
2	 4867.617967	 0.577066	 0.190347	 -0.461511
1	 4867.627967	 0.478758	 0.089997	 -0.334734
2	 4867.627967	 0.616135	 0.210105	 -0.553557
1	 4867.627967	 0.545235	 0.134566	 -0.364420
2	 4867.637967	 0.625993	 0.227865	 -0.642928
1	 4867.637967	 0.597897	 0.165444	 -0.400970
2	 4867.647967	 -0.000000	 0.000000	 -0.000000
1	 4867.647967	 -0.000000	 -0.000000	 -0.000000
2	 4867.657967	 -0.040873	 0.013769	 -0.075912
1	 4867.657967	 -0.022318	 0.028859	 -0.028622
2	 4867.667967	 -0.095175	 0.027083	 -0.148887
1	 4867.667967	 -0.079495	 0.075185	 -0.057730
2	 4867.667967	 -0.156201	 0.039167	 -0.228407
1	 4867.677967	 -0.168494	 0.109882	 -0.088515
2	 4867.677967	 -0.212117	 0.051120	 -0.309106
1	 4867.677967	 -0.270843	 0.163061	 -0.113222
2	 4867.687967	 -0.269470	 0.061942	 -0.389220
1	 4867.687967	 -0.388642	 0.201306	 -0.135470
2	 4867.697967	 -0.315150	 0.073741	 -0.470299
1	 4867.697967	 -0.503781	 0.254732	 -0.163670
2	 4867.707967	 -0.360367	 0.082944	 -0.552632
1	 4867.707967	 -0.607592	 0.288500	 -0.193566
2	 4867.717967	 -0.394685	 0.095640	 -0.634184
1	 4867.717967	 -0.673103	 0.325354	 -0.219602
2	 4867.717967	 -0.426944	 0.103595	 -0.722171
1	 4867.727967	 -0.697803	 0.343970	 -0.242423
2	 4867.727967	 0.000000	 0.000000	 0.000000
1	 4867.727967	 -0.000000	 -0.000000	 0.000000
2	 4867.737967	 -0.030000	 -0.002472	 -0.084278
1	 4867.737967	 0.051458	 0.022145	 -0.002768
2	 4867.747967	 -0.048400	 -0.011687	 -0.165984
1	 4867.747967	 0.122928	 0.060672	 0.012635
2	 4867.757967	 -0.057965	 -0.035582	 -0.258797
