DevID	 CerebusTime	 Roll	 Pitch	 Yaw
1	 18.649600	 0.032427	 -0.002061	 -0.011788
2	 18.649600	 0.031335	 0.005436	 -0.004985
1	 18.649600	 0.063669	 -0.004292	 -0.026386
2	 18.659600	 0.060215	 0.009248	 -0.010753
1	 18.659600	 0.085778	 -0.009384	 -0.039788
2	 18.669600	 0.086107	 0.013711	 -0.016906
1	 18.669600	 0.100968	 -0.012328	 -0.056061
2	 18.669600	 0.111011	 0.013999	 -0.026507
1	 18.679600	 0.105646	 -0.009766	 -0.070047
2	 18.679600	 0.135137	 0.012284	 -0.036110
1	 18.689600	 0.108427	 -0.005871	 -0.083474
2	 18.689600	 0.160279	 0.007450	 -0.047956
1	 18.689600	 0.108096	 -0.000389	 -0.095167
2	 18.699600	 0.188456	 0.001326	 -0.062331
1	 18.699600	 0.110452	 -0.000699	 -0.103270
2	 18.699600	 0.215614	 -0.004614	 -0.080335
1	 18.709600	 0.106827	 -0.001442	 -0.107059
2	 18.709600	 0.237617	 -0.009254	 -0.098822
1	 18.719600	 0.103258	 -0.008226	 -0.110794
2	 18.719600	 0.244667	 -0.014317	 -0.118034
1	 18.729600	 0.000000	 0.000000	 -0.000000
2	 18.729600	 0.000000	 0.000000	 0.000000
1	 18.739600	 -0.024889	 -0.005632	 -0.000073
2	 18.739600	 -0.011906	 -0.004243	 -0.012124
1	 18.739600	 -0.063857	 -0.007077	 -0.002666
2	 18.739600	 -0.024527	 -0.009394	 -0.024062
1	 18.749600	 -0.105453	 -0.008244	 -0.008834
2	 18.749600	 -0.041172	 -0.013150	 -0.031423
1	 18.759600	 -0.149895	 -0.005200	 -0.012627
2	 18.759600	 -0.057415	 -0.018193	 -0.038964
1	 18.769600	 -0.187328	 -0.002238	 -0.018496
2	 18.769600	 -0.068279	 -0.021735	 -0.039674
1	 18.779600	 -0.211910	 0.002997	 -0.021585
2	 18.779600	 -0.069866	 -0.021295	 -0.037306
1	 18.789600	 -0.219679	 0.006619	 -0.017178
2	 18.789600	 -0.063194	 -0.019452	 -0.041717
1	 18.789600	 -0.216750	 0.015362	 -0.008694
2	 18.789600	 -0.055786	 -0.015500	 -0.047781
1	 18.799600	 -0.207023	 0.022241	 0.002016
2	 18.799600	 -0.050576	 -0.011316	 -0.049870
1	 18.809600	 0.000000	 0.000000	 0.000000
2	 18.809600	 -0.000000	 -0.000000	 -0.000000
1	 18.819600	 0.008474	 0.003210	 0.007977
2	 18.819600	 -0.008983	 0.000878	 0.004225
1	 18.829600	 0.013057	 0.005729	 0.014255
2	 18.829600	 -0.019745	 -0.000007	 0.012017
1	 18.839600	 0.015090	 0.005214	 0.021113
2	 18.839600	 -0.023122	 -0.002144	 0.022424
1	 18.839600	 0.017323	 0.004834	 0.030158
2	 18.839600	 -0.011879	 -0.004324	 0.027160
1	 18.849600	 0.023616	 0.004696	 0.043710
2	 18.849600	 0.003583	 -0.006599	 0.032343
1	 18.859600	 0.025305	 0.006765	 0.054292
2	 18.859600	 0.022318	 -0.006548	 0.035559
1	 18.869600	 0.028236	 0.007391	 0.065728
2	 18.869600	 0.036721	 -0.008441	 0.040025
1	 18.879600	 0.027345	 0.008982	 0.076507
2	 18.879600	 0.048179	 -0.006317	 0.046405
1	 18.889600	 0.030014	 0.010675	 0.086539
2	 18.889600	 0.053929	 -0.003571	 0.052652
1	 18.889600	 0.000000	 0.000000	 0.000000
2	 18.897933	 0.000000	 0.000000	 0.000000
1	 18.899600	 -0.005486	 -0.000435	 0.008035
2	 18.899600	 -0.015382	 0.004120	 0.006837
1	 18.909600	 -0.016545	 -0.002411	 0.018380
2	 18.909600	 -0.042339	 0.004677	 0.023624
1	 18.919600	 -0.034276	 -0.007787	 0.028313
2	 18.919600	 -0.071558	 -0.000307	 0.032670
1	 18.929600	 -0.064412	 -0.011357	 0.033313
2	 18.929600	 -0.090705	 -0.006842	 0.042924
1	 18.939600	 -0.096227	 -0.019699	 0.036829
2	 18.939600	 -0.098498	 -0.014410	 0.051466
1	 18.939600	 -0.129334	 -0.025207	 0.037569
2	 18.942600	 -0.097997	 -0.021904	 0.055336
1	 18.949600	 -0.154994	 -0.027965	 0.039059
2	 18.949600	 -0.094291	 -0.026749	 0.057444
1	 18.959600	 -0.173620	 -0.022053	 0.046192
2	 18.959600	 -0.083221	 -0.033319	 0.056600
1	 18.969600	 -0.177361	 -0.012803	 0.052207
2	 18.969600	 -0.074731	 -0.034801	 0.055009
1	 18.979600	 -0.000000	 0.000000	 -0.000000
2	 18.979600	 -0.000000	 -0.000000	 0.000000
1	 18.989600	 0.015634	 0.006344	 0.010517
2	 18.989600	 -0.003983	 0.007662	 0.004780
1	 18.989600	 0.024474	 0.015187	 0.014199
2	 18.994967	 -0.013962	 0.016052	 0.006350
1	 18.999600	 0.026260	 0.015766	 0.011188
2	 18.999600	 -0.025955	 0.026184	 0.018110
1	 19.009600	 0.018277	 0.017859	 0.001506
2	 19.009600	 -0.031318	 0.034678	 0.027370
1	 19.019600	 0.009984	 0.019637	 -0.010031
2	 19.019600	 -0.026996	 0.039878	 0.038463
1	 19.029600	 0.003423	 0.026730	 -0.023034
2	 19.029600	 -0.013239	 0.044928	 0.046857
1	 19.039600	 0.012334	 0.033677	 -0.030070
2	 19.039600	 0.005433	 0.049078	 0.053800
