DevID	 CerebusTime	 Roll	 Pitch	 Yaw
2	 10.390000	 0.026394	 0.006050	 0.000838
1	 10.390000	 0.003592	 -0.002948	 -0.023659
2	 10.400000	 0.056953	 0.007244	 -0.000369
1	 10.400000	 0.002008	 -0.009274	 -0.038891
2	 10.400000	 0.089530	 0.009185	 0.003292
1	 10.400000	 0.002515	 -0.014659	 -0.069635
2	 10.400000	 0.125720	 0.008860	 0.011010
1	 10.410000	 0.006855	 -0.025290	 -0.085314
2	 10.410000	 0.165211	 0.009329	 0.018497
1	 10.419600	 0.022939	 -0.037325	 -0.118892
2	 10.420000	 0.211566	 0.009321	 0.025083
1	 10.420000	 0.053950	 -0.048946	 -0.155312
2	 10.430000	 0.266721	 0.011666	 0.030916
1	 10.430000	 0.096357	 -0.059975	 -0.181123
2	 10.440000	 0.327245	 0.009549	 0.033062
1	 10.440000	 0.140594	 -0.072227	 -0.200629
2	 10.450000	 0.384693	 0.006808	 0.032345
1	 10.450000	 0.189803	 -0.082251	 -0.218909
2	 10.450000	 0.438893	 -0.000360	 0.030047
1	 10.460000	 0.231672	 -0.098018	 -0.215673
2	 10.460000	 0.000000	 0.000000	 0.000000
1	 10.460000	 0.000000	 0.000000	 -0.000000
2	 10.470000	 0.046239	 -0.012100	 -0.014433
1	 10.470000	 0.030225	 -0.011329	 0.006812
2	 10.480000	 0.087366	 -0.026084	 -0.033910
1	 10.480000	 0.056824	 -0.020137	 -0.004769
2	 10.490000	 0.118701	 -0.042134	 -0.058988
1	 10.490000	 0.070153	 -0.026717	 0.012608
2	 10.500000	 0.136848	 -0.058826	 -0.088018
1	 10.500000	 0.077215	 -0.033800	 0.007758
2	 10.510000	 0.140121	 -0.072794	 -0.118044
1	 10.510000	 0.072412	 -0.039677	 -0.001568
2	 10.510000	 0.136863	 -0.088189	 -0.145487
1	 10.518500	 0.060655	 -0.042328	 -0.007051
2	 10.520000	 0.125682	 -0.103878	 -0.173528
1	 10.520000	 0.037907	 -0.046925	 -0.005342
2	 10.530000	 0.114598	 -0.117726	 -0.204938
1	 10.530000	 0.012274	 -0.051474	 -0.015441
2	 10.540000	 0.103906	 -0.131046	 -0.237024
1	 10.540000	 -0.020695	 -0.057216	 0.000902
2	 10.550000	 -0.000000	 0.000000	 -0.000000
1	 10.550000	 0.000000	 0.000000	 0.000000
2	 10.560000	 0.002778	 -0.013172	 -0.031925
1	 10.560000	 -0.024806	 0.003695	 -0.009664
2	 10.560000	 0.013259	 -0.024502	 -0.060961
1	 10.560000	 -0.044032	 0.010244	 -0.018224
2	 10.570000	 0.028410	 -0.036596	 -0.090575
1	 10.570000	 -0.051416	 0.013804	 -0.036472
2	 10.580000	 0.053657	 -0.047153	 -0.116773
1	 10.580000	 -0.051681	 0.016270	 -0.042901
2	 10.590000	 0.077451	 -0.057133	 -0.144662
1	 10.590000	 -0.039997	 0.017039	 -0.042221
2	 10.600000	 0.102366	 -0.065474	 -0.169316
1	 10.600000	 -0.017183	 0.017337	 -0.037843
2	 10.610000	 0.122467	 -0.077194	 -0.191486
1	 10.610000	 0.004796	 0.012545	 -0.015395
2	 10.610000	 0.133490	 -0.089403	 -0.208892
1	 10.615433	 0.025423	 0.009081	 -0.006456
