DevID	 CerebusTime	 Roll	 Pitch	 Yaw
1	 11.580000	 0.017738	 -0.020427	 -0.006176
2	 11.590000	 0.099368	 -0.015150	 0.041392
1	 11.590000	 0.039877	 -0.033171	 -0.015683
2	 11.590000	 0.141970	 -0.017686	 0.061154
1	 11.590000	 0.063869	 -0.042985	 -0.029908
2	 11.600000	 0.181182	 -0.018895	 0.078825
1	 11.600000	 0.089313	 -0.052066	 -0.038111
2	 11.610000	 0.218125	 -0.019482	 0.096557
1	 11.610000	 0.114324	 -0.062979	 -0.067740
2	 11.620000	 0.255443	 -0.021786	 0.110881
1	 11.620000	 0.134441	 -0.073679	 -0.078683
2	 11.620000	 0.286317	 -0.023912	 0.120851
1	 11.630000	 0.146977	 -0.082093	 -0.112363
2	 11.630000	 0.310445	 -0.025296	 0.126889
1	 11.630000	 0.151139	 -0.087548	 -0.122429
2	 11.640000	 0.334177	 -0.028073	 0.130756
1	 11.640000	 0.152532	 -0.093557	 -0.122818
2	 11.650000	 0.355820	 -0.027477	 0.131392
1	 11.650000	 0.154087	 -0.093581	 -0.131939
2	 11.660000	 0.379732	 -0.027611	 0.128538
1	 11.660000	 -0.000000	 -0.000000	 -0.000000
2	 11.670000	 -0.000000	 0.000000	 0.000000
1	 11.670000	 -0.002113	 -0.002489	 -0.007488
2	 11.670000	 0.027427	 -0.006082	 -0.009125
1	 11.680000	 -0.006241	 -0.005088	 -0.030623
2	 11.680000	 0.055998	 -0.014133	 -0.019838
1	 11.685967	 -0.011158	 -0.001561	 -0.035699
2	 11.690000	 0.082708	 -0.022379	 -0.030551
1	 11.690000	 -0.013889	 0.002675	 -0.060920
2	 11.700000	 0.109357	 -0.030038	 -0.047376
1	 11.700000	 -0.014257	 0.008480	 -0.062462
2	 11.710000	 0.134154	 -0.035612	 -0.060573
1	 11.710000	 -0.010720	 0.016933	 -0.081355
2	 11.720000	 0.152993	 -0.042267	 -0.073730
1	 11.720000	 -0.010553	 0.022347	 -0.081046
2	 11.720000	 0.169984	 -0.045139	 -0.084206
1	 11.730000	 -0.015657	 0.028924	 -0.077201
2	 11.730000	 0.187560	 -0.048998	 -0.095415
1	 11.732967	 -0.026999	 0.032968	 -0.082439
2	 11.740000	 0.205253	 -0.050712	 -0.102885
1	 11.740000	 -0.000000	 -0.000000	 0.000000
2	 11.750000	 -0.000000	 -0.000000	 0.000000
1	 11.750000	 -0.020818	 0.000674	 -0.009358
2	 11.760000	 0.024976	 -0.000965	 -0.004494
1	 11.760000	 -0.042410	 0.003213	 -0.042381
2	 11.770000	 0.053956	 -0.002020	 -0.005433
1	 11.770000	 -0.058068	 0.004738	 -0.053818
2	 11.770000	 0.083561	 -0.004297	 -0.007466
1	 11.780000	 -0.067620	 0.004728	 -0.082041
2	 11.780000	 0.115726	 -0.007309	 -0.007988
1	 11.780000	 -0.064981	 0.005921	 -0.090755
2	 11.790000	 0.148822	 -0.007797	 -0.007529
1	 11.790000	 -0.053514	 0.012487	 -0.120397
2	 11.800000	 0.182489	 -0.005570	 -0.007287
1	 11.800000	 -0.036160	 0.016624	 -0.126177
2	 11.810000	 0.215288	 -0.003226	 -0.004798
1	 11.810000	 -0.016416	 0.017840	 -0.124187
2	 11.820000	 0.250690	 -0.001357	 -0.003594
1	 11.820000	 0.004067	 0.017818	 -0.131125
2	 11.820000	 0.287121	 0.001352	 0.000378
1	 11.830000	 0.000000	 0.000000	 0.000000
2	 11.830000	 0.000000	 0.000000	 -0.000000
1	 11.840000	 0.014674	 0.002462	 -0.009687
2	 11.840000	 0.037438	 0.003583	 0.001396
1	 11.840000	 0.020826	 0.004421	 -0.015783
2	 11.850000	 0.076685	 0.006250	 0.003446
1	 11.850000	 0.028470	 0.005436	 -0.023011
2	 11.860000	 0.107621	 0.010043	 0.003674
1	 11.860000	 0.032005	 0.006347	 -0.040879
2	 11.870000	 0.131509	 0.013920	 0.003820
1	 11.870000	 0.033276	 0.004844	 -0.052457
2	 11.870000	 0.146374	 0.020322	 0.004260
1	 11.880000	 0.030727	 0.001883	 -0.092893
2	 11.880000	 0.157512	 0.026004	 0.004084
1	 11.890000	 0.023567	 0.001241	 -0.103967
2	 11.890000	 0.165955	 0.031911	 0.002846
1	 11.890000	 0.011845	 0.003149	 -0.134225
2	 11.900000	 0.176896	 0.033805	 0.000316
1	 11.900000	 -0.000535	 0.008315	 -0.144360
2	 11.910000	 0.191477	 0.033289	 -0.003180
1	 11.910000	 0.000000	 0.000000	 0.000000
2	 11.920000	 -0.000000	 0.000000	 -0.000000
1	 11.920000	 -0.008475	 0.007138	 -0.006095
2	 11.920000	 0.029088	 -0.005005	 -0.007311
1	 11.930000	 -0.020827	 0.012225	 -0.013987
2	 11.930000	 0.066099	 -0.014027	 -0.012751
1	 11.935600	 -0.033250	 0.016772	 -0.014596
2	 11.940000	 0.110439	 -0.025144	 -0.018539
1	 11.940000	 -0.044430	 0.017413	 -0.029593
2	 11.950000	 0.153186	 -0.037949	 -0.021891
1	 11.950000	 -0.057415	 0.016969	 -0.031810
2	 11.960000	 0.190793	 -0.048271	 -0.025203
1	 11.960000	 -0.071006	 0.011810	 -0.046089
2	 11.970000	 0.223346	 -0.062830	 -0.029917
1	 11.970000	 -0.084279	 0.007872	 -0.047468
2	 11.970000	 0.252039	 -0.077107	 -0.036452
1	 11.980000	 -0.092721	 0.003209	 -0.053609
2	 11.980000	 0.278991	 -0.093109	 -0.045843
