DevID	 CerebusTime	 Roll	 Pitch	 Yaw
1	 4046.553967	 -0.000000	 -0.000000	 0.000000
1	 4046.563967	 0.052859	 -0.030110	 -0.005609
1	 4046.573967	 0.123601	 -0.083648	 0.040687
1	 4046.573967	 0.193295	 -0.138194	 -0.034456
1	 4046.593600	 0.237088	 -0.188433	 -0.015389
1	 4046.593600	 0.258672	 -0.216637	 -0.026771
1	 4046.603967	 0.251834	 -0.234539	 -0.066933
1	 4046.613967	 0.242729	 -0.241510	 -0.187975
1	 4046.623967	 0.214914	 -0.257939	 -0.212409
1	 4046.623967	 0.203743	 -0.264165	 -0.084656
1	 4046.633600	 0.000000	 -0.000000	 0.000000
1	 4046.643967	 -0.022969	 0.021130	 -0.145084
1	 4046.653967	 -0.045434	 0.057714	 -0.162254
1	 4046.663967	 -0.074135	 0.101725	 0.013236
1	 4046.673967	 -0.102098	 0.133558	 0.029948
1	 4046.673967	 -0.114804	 0.189336	 -0.016593
1	 4046.683967	 -0.135472	 0.234994	 0.002423
1	 4046.693600	 -0.134097	 0.283179	 0.010649
1	 4046.703967	 -0.122894	 0.344940	 0.006931
1	 4046.713967	 -0.105225	 0.418607	 0.058789
1	 4046.723967	 0.000000	 0.000000	 0.000000
1	 4046.723967	 -0.009540	 0.084875	 -0.120028
1	 4046.733967	 -0.014595	 0.173069	 -0.205929
1	 4046.743967	 -0.002476	 0.251170	 -0.308337
1	 4046.753967	 0.009977	 0.291021	 -0.331403
1	 4046.763967	 0.049696	 0.299958	 -0.275524
1	 4046.773967	 0.104322	 0.292524	 -0.250476
1	 4046.773967	 0.147008	 0.281122	 -0.221723
1	 4046.783967	 0.174327	 0.262138	 -0.203415
1	 4046.793600	 0.195962	 0.248499	 -0.138131
1	 4046.803967	 0.000000	 -0.000000	 0.000000
1	 4046.813967	 0.006748	 -0.029246	 -0.137153
1	 4046.823967	 -0.019173	 -0.042265	 -0.154611
1	 4046.823967	 -0.046383	 -0.040394	 -0.123493
1	 4046.833967	 -0.066179	 -0.054186	 -0.145366
1	 4046.843967	 -0.072737	 -0.076350	 -0.217419
1	 4046.853967	 -0.066438	 -0.101153	 -0.217058
1	 4046.863967	 -0.044386	 -0.120885	 -0.190827
1	 4046.873967	 -0.025937	 -0.151154	 -0.169726
1	 4046.873967	 -0.001221	 -0.193651	 -0.186706
1	 4046.883600	 0.000000	 0.000000	 0.000000
1	 4046.893600	 0.061575	 -0.034365	 0.149014
1	 4046.903967	 0.136039	 -0.058305	 0.161704
1	 4046.913967	 0.179021	 -0.073440	 0.108267
1	 4046.923967	 0.195432	 -0.069189	 0.081020
1	 4046.923967	 0.200270	 -0.044493	 0.201193
1	 4046.933967	 0.206491	 -0.021370	 0.148560
1	 4046.943967	 0.213476	 -0.008948	 0.081689
1	 4046.953967	 0.231553	 -0.007612	 0.042083
1	 4046.963967	 0.262788	 -0.008621	 -0.026672
1	 4046.973967	 0.000000	 0.000000	 0.000000
1	 4046.973967	 0.041350	 -0.049179	 -0.070418
1	 4046.983967	 0.082410	 -0.087792	 -0.067267
1	 4046.993967	 0.105533	 -0.104914	 -0.034948
1	 4047.003967	 0.124469	 -0.109046	 -0.067859
1	 4047.013967	 0.126223	 -0.089858	 -0.111800
1	 4047.023967	 0.104446	 -0.070277	 -0.150634
1	 4047.023967	 0.062320	 -0.030507	 -0.239451
1	 4047.033967	 -0.013400	 0.008439	 -0.321246
1	 4047.043967	 -0.104663	 0.042286	 -0.326534
1	 4047.053967	 -0.000000	 0.000000	 0.000000
1	 4047.063967	 -0.067311	 0.022196	 -0.092504
1	 4047.073967	 -0.105172	 0.022713	 -0.155891
1	 4047.073967	 -0.104921	 0.000125	 -0.277193
1	 4047.083967	 -0.100297	 -0.036493	 -0.303705
1	 4047.093967	 -0.103911	 -0.071788	 -0.409664
1	 4047.103967	 -0.114947	 -0.107660	 -0.469408
1	 4047.113967	 -0.134270	 -0.137484	 -0.467251
1	 4047.123967	 -0.143408	 -0.166976	 -0.553821
1	 4047.123967	 -0.138481	 -0.202932	 -0.796909
1	 4047.133967	 0.000000	 -0.000000	 0.000000
1	 4047.143967	 0.021096	 -0.041983	 0.094656
1	 4047.153967	 0.038736	 -0.106529	 0.123773
1	 4047.163967	 0.059180	 -0.182737	 0.197729
1	 4047.173967	 -0.113433	 -0.261471	 0.308501
1	 4047.173967	 -0.409374	 -0.241136	 0.206479
1	 4047.183967	 -0.605723	 -0.156658	 -0.037404
1	 4047.193967	 -0.737736	 -0.061567	 -0.336251
1	 4047.203967	 -0.705037	 -0.011331	 -0.512429
1	 4047.213967	 -0.558993	 -0.004680	 -0.622580
1	 4047.223967	 -0.000000	 0.000000	 0.000000
1	 4047.223967	 0.213585	 -0.016203	 -0.248507
1	 4047.233967	 0.372752	 -0.039272	 -0.325989
1	 4047.243967	 0.428794	 -0.014630	 -0.029544
1	 4047.253967	 0.407873	 0.031057	 -0.152352
1	 4047.263967	 0.374004	 0.068873	 -0.355246
1	 4047.273967	 0.344269	 0.080733	 -0.448111
1	 4047.273967	 0.336066	 0.093912	 -0.659543
1	 4047.283967	 0.330795	 0.104295	 -0.717462
1	 4047.293967	 0.329336	 0.130458	 -0.638947
1	 4047.303967	 -0.000000	 0.000000	 0.000000
1	 4047.313967	 -0.054412	 0.043885	 -0.183252
1	 4047.323967	 -0.095007	 0.084329	 -0.295899
1	 4047.323967	 -0.121773	 0.130692	 -0.330651
1	 4047.333967	 -0.143292	 0.168793	 -0.448684
1	 4047.343967	 -0.141131	 0.212279	 -0.610286
1	 4047.353967	 -0.125920	 0.236087	 -0.732433
1	 4047.363967	 -0.105874	 0.259890	 -0.958498
1	 4047.373967	 -0.079507	 0.285232	 -1.111206
1	 4047.373967	 -0.048809	 0.322389	 -1.396290
1	 4047.383967	 -0.000000	 0.000000	 0.000000
1	 4047.393967	 -0.032045	 0.075635	 -0.148917
1	 4047.403967	 -0.090708	 0.155271	 -0.378802
1	 4047.413967	 -0.165601	 0.250975	 -0.779773
1	 4047.423967	 -0.277275	 0.344030	 -1.062605
1	 4047.427967	 -0.388933	 0.439359	 -1.238415
1	 4047.433967	 -0.502253	 0.537697	 -1.574819
1	 4047.443967	 -0.648172	 0.679934	 -2.067948
1	 4047.453967	 -0.889161	 0.900879	 -2.609906
1	 4047.463967	 -1.139912	 1.140510	 -3.209704
1	 4047.473967	 -1.299157	 1.339708	 -3.829334
1	 4047.483967	 -1.320137	 1.465879	 -4.498124
1	 4047.483967	 -1.624568	 1.631823	 -5.092170
1	 4047.493967	 -1.815251	 1.747034	 -5.657760
1	 4047.503967	 -1.838493	 1.833469	 -6.273005
1	 4047.513967	 -1.936477	 1.938279	 -6.872429
1	 4047.523967	 -2.046977	 2.027727	 -7.475188
1	 4047.533967	 -2.101337	 2.066422	 -8.039559
1	 4047.533967	 -2.111443	 2.098706	 -8.521981
1	 4047.543967	 -2.146978	 2.092469	 -9.216326
1	 4047.553967	 -2.186458	 2.088970	 -9.557013
1	 4047.563967	 -2.276768	 2.108744	 -9.966489
1	 4047.573967	 -2.340343	 2.160729	 -10.636385
1	 4047.583967	 -2.437077	 2.274567	 -11.433666
1	 4047.583967	 -2.601943	 2.396314	 -12.229928
1	 4047.593967	 -2.694836	 2.458247	 -13.253021
1	 4047.603967	 -2.719783	 2.494416	 -13.947200
1	 4047.613967	 -2.778436	 2.508193	 -14.584372
1	 4047.623967	 -2.856451	 2.528412	 -15.264883
1	 4047.623967	 -2.935046	 2.549093	 -16.086102
1	 4047.633967	 -3.018289	 2.595635	 -16.853547
1	 4047.643967	 -3.078598	 2.656767	 -17.399935
1	 4047.653967	 -3.114736	 2.741296	 -18.305660
1	 4047.663967	 -3.117688	 2.825355	 -19.449237
1	 4047.673967	 -3.073595	 2.926202	 -20.475493
1	 4047.683967	 -2.996022	 3.002416	 -21.783895
1	 4047.683967	 -2.848886	 3.069606	 -22.808695
1	 4047.693967	 -2.684196	 3.097669	 -23.847768
1	 4047.703967	 -2.488969	 3.084979	 -24.765427
1	 4047.713967	 -2.300743	 3.041352	 -25.744445
1	 4047.723967	 -2.200394	 2.990440	 -26.758390
1	 4047.723967	 -2.218846	 2.918315	 -28.191558
1	 4047.733967	 -2.363001	 2.824991	 -29.316929
1	 4047.743967	 -2.512761	 2.663469	 -30.775876
1	 4047.753967	 -2.599136	 2.510000	 -31.829246
1	 4047.763967	 -2.570703	 2.322279	 -33.026620
1	 4047.773967	 -2.470857	 2.162722	 -34.081809
1	 4047.773967	 -2.318982	 2.013607	 -34.688627
1	 4047.783967	 -2.143811	 1.925987	 -35.742541
1	 4047.793967	 -1.962875	 1.841493	 -36.876475
1	 4047.803967	 -1.843452	 1.769079	 -37.858497
1	 4047.813967	 -1.746960	 1.674482	 -39.439354
1	 4047.823967	 -1.617891	 1.558241	 -40.626793
1	 4047.823967	 -1.413416	 1.392764	 -42.652120
1	 4047.833967	 -1.170479	 1.256765	 -43.850142
1	 4047.843967	 -0.862924	 1.150674	 -45.723489
1	 4047.853967	 -0.515307	 1.105799	 -46.652299
1	 4047.863967	 -0.125044	 1.099649	 -47.921041
1	 4047.873967	 0.249223	 1.129882	 -48.796880
1	 4047.873967	 0.599754	 1.158940	 -50.404387
1	 4047.883967	 0.916394	 1.244508	 -51.320209
1	 4047.903967	 1.674991	 1.451172	 -54.233303
1	 4047.913967	 2.112256	 1.567273	 -55.519113
1	 4047.923967	 2.554798	 1.659042	 -56.438020
1	 4047.923967	 2.957333	 1.752371	 -57.591283
1	 4047.933967	 3.360476	 1.803141	 -59.853369
1	 4047.943967	 3.610750	 1.791392	 -60.754878
1	 4047.953967	 3.754862	 1.782073	 -62.671839
1	 4047.963967	 3.906854	 1.832874	 -63.826673
1	 4047.973967	 4.144103	 1.920485	 -65.840661
1	 4047.973967	 4.394460	 2.040150	 -67.016146
1	 4047.983967	 4.619835	 2.128433	 -68.256158
1	 4047.993967	 4.746121	 2.193006	 -69.271096
1	 4048.003967	 4.755259	 2.197606	 -70.905315
1	 4048.013967	 4.613603	 2.191483	 -71.940707
1	 4048.023967	 4.374075	 2.128135	 -73.082305
1	 4048.023967	 4.073641	 2.076572	 -74.238818
1	 4048.033967	 3.815399	 2.021226	 -75.306772
1	 4048.043967	 3.614813	 1.989463	 -76.353612
1	 4048.053967	 3.478581	 1.948938	 -77.364478
1	 4048.063967	 3.405099	 1.922690	 -78.180493
1	 4048.073967	 3.407215	 1.892797	 -79.082205
1	 4048.073967	 3.414511	 1.882777	 -79.997976
1	 4048.083967	 3.452192	 1.866238	 -81.017235
1	 4048.093967	 3.466848	 1.870501	 -82.028813
1	 4048.103967	 3.462322	 1.850621	 -83.093174
1	 4048.113967	 3.412473	 1.823761	 -84.129045
1	 4048.123967	 3.373904	 1.779803	 -85.080237
1	 4048.123967	 3.299507	 1.742428	 -86.145515
1	 4048.133967	 3.192435	 1.675968	 -87.042528
1	 4048.143967	 3.023444	 1.618867	 -87.889639
