DevID	 CerebusTime	 Roll	 Pitch	 Yaw
1	 3865.344967	 -0.026360	 0.018287	 0.009822
1	 3865.344967	 -0.061614	 0.051341	 0.029773
1	 3865.354967	 -0.107276	 0.097989	 0.093447
1	 3865.364967	 -0.157958	 0.156117	 0.052888
1	 3865.374967	 -0.216691	 0.205357	 0.113720
1	 3865.384967	 -0.261773	 0.240169	 0.143873
1	 3865.384967	 -0.292329	 0.272927	 0.200452
1	 3865.394967	 -0.316460	 0.308006	 0.202965
1	 3865.404967	 -0.339358	 0.329832	 0.261909
1	 3865.414967	 -0.357164	 0.340458	 0.245158
1	 3865.424967	 0.000000	 0.000000	 0.000000
1	 3865.434967	 -0.010089	 0.021492	 0.036876
1	 3865.434967	 -0.005684	 0.025230	 0.076608
1	 3865.444967	 0.012059	 0.029519	 0.051023
1	 3865.454967	 0.023613	 0.026627	 0.081141
1	 3865.464967	 0.021878	 0.019575	 0.141075
1	 3865.474967	 0.016773	 0.003435	 0.182427
1	 3865.484967	 0.023292	 -0.009475	 0.156268
1	 3865.484967	 0.024871	 -0.035627	 0.199219
1	 3865.494967	 0.031428	 -0.067969	 0.273664
1	 3865.504967	 -0.000000	 -0.000000	 0.000000
1	 3865.514967	 0.019155	 -0.028870	 -0.016700
1	 3865.524967	 0.035947	 -0.055993	 -0.019368
1	 3865.534967	 0.037691	 -0.084349	 0.004702
1	 3865.534967	 0.019233	 -0.098749	 0.042397
1	 3865.544967	 -0.016446	 -0.106822	 0.055077
1	 3865.554967	 -0.055416	 -0.110266	 0.112991
1	 3865.564967	 -0.079271	 -0.130755	 0.200281
1	 3865.574967	 -0.074714	 -0.158067	 0.219241
1	 3865.584967	 -0.061414	 -0.201058	 0.292830
1	 3865.584967	 -0.000000	 0.000000	 -0.000000
1	 3865.594967	 0.005688	 -0.032118	 -0.065571
1	 3865.604967	 -0.005242	 -0.052585	 -0.046304
1	 3865.614967	 -0.021751	 -0.042124	 -0.117021
1	 3865.624967	 -0.053155	 -0.047823	 -0.080832
1	 3865.634967	 -0.080915	 -0.049575	 -0.174477
1	 3865.634967	 -0.119107	 -0.064589	 -0.162360
1	 3865.644967	 -0.155353	 -0.076851	 -0.256805
1	 3865.654967	 -0.183404	 -0.104457	 -0.259224
1	 3865.664967	 -0.202373	 -0.134298	 -0.295754
1	 3865.674967	 -0.000000	 0.000000	 -0.000000
1	 3865.684967	 -0.003247	 -0.037929	 -0.080053
1	 3865.684967	 -0.006867	 -0.070236	 -0.119955
1	 3865.694967	 -0.003747	 -0.098166	 -0.128489
1	 3865.704967	 -0.003485	 -0.116281	 -0.135081
1	 3865.714967	 -0.002558	 -0.122230	 -0.203329
1	 3865.724967	 -0.003473	 -0.130839	 -0.206573
1	 3865.734967	 -0.000324	 -0.135192	 -0.218763
1	 3865.734967	 -0.004194	 -0.142126	 -0.231407
1	 3865.744967	 -0.016358	 -0.131686	 -0.292801
1	 3865.754967	 -0.000000	 -0.000000	 -0.000000
1	 3865.764967	 -0.012593	 -0.001357	 -0.069476
1	 3865.774967	 -0.007931	 -0.018094	 -0.097271
1	 3865.784967	 0.024386	 -0.027718	 -0.228448
1	 3865.784967	 0.063997	 -0.044933	 -0.258700
1	 3865.794967	 0.102686	 -0.059128	 -0.256513
1	 3865.804967	 0.125596	 -0.063343	 -0.260567
1	 3865.814967	 0.128819	 -0.057936	 -0.232744
1	 3865.824967	 0.128796	 -0.051545	 -0.210468
1	 3865.834967	 0.141261	 -0.044863	 -0.254074
1	 3865.834967	 0.000000	 -0.000000	 -0.000000
1	 3865.844967	 0.027125	 -0.005713	 -0.035322
1	 3865.854967	 0.045829	 -0.016618	 -0.028287
1	 3865.864967	 0.054495	 -0.031366	 0.032824
1	 3865.874967	 0.052240	 -0.036325	 0.056095
1	 3865.884967	 0.045526	 -0.038920	 0.052035
1	 3865.884967	 0.054951	 -0.047794	 0.085926
1	 3865.894967	 0.081412	 -0.048011	 0.073502
1	 3865.904967	 0.115163	 -0.037907	 0.182352
1	 3865.914967	 0.132587	 -0.024935	 0.262026
1	 3865.924967	 0.000000	 0.000000	 -0.000000
1	 3865.934967	 0.050826	 0.020775	 -0.051249
1	 3865.934967	 0.101443	 0.040692	 -0.067932
1	 3865.944967	 0.132536	 0.039021	 -0.063778
1	 3865.954967	 0.160305	 0.031600	 -0.111390
1	 3865.964967	 0.176720	 0.042231	 -0.197053
1	 3865.974967	 0.176008	 0.038201	 -0.199292
1	 3865.983967	 0.174657	 0.022549	 -0.162346
1	 3865.993967	 0.172950	 0.012476	 -0.141280
1	 3865.993967	 0.182548	 0.011313	 -0.131123
1	 3866.003967	 0.000000	 -0.000000	 0.000000
1	 3866.013967	 0.003931	 -0.009343	 -0.008342
1	 3866.023967	 0.003555	 -0.009634	 -0.026160
1	 3866.033967	 -0.007588	 0.009540	 -0.131316
1	 3866.043967	 0.019080	 -0.020771	 -0.199974
1	 3866.043967	 0.081170	 -0.072653	 -0.296427
1	 3866.053967	 0.148640	 -0.114476	 -0.364289
1	 3866.063967	 0.201230	 -0.143521	 -0.430612
1	 3866.073967	 0.206667	 -0.168825	 -0.491899
