DevID	 CerebusTime	 Roll	 Pitch	 Yaw
1	 86.678967	 -0.001170	 0.003754	 0.003643
2	 86.678967	 -0.004551	 -0.004847	 0.001245
1	 86.688967	 0.001910	 0.005609	 0.004772
2	 86.688967	 -0.003631	 -0.004321	 0.001849
1	 86.698967	 0.002545	 0.007051	 0.003684
2	 86.698967	 -0.003675	 -0.008230	 0.005549
1	 86.698967	 0.004453	 0.011521	 0.007382
2	 86.698967	 -0.004242	 -0.012279	 0.000109
1	 86.708967	 0.005979	 0.011203	 0.004618
2	 86.708967	 -0.004272	 -0.013611	 0.002849
1	 86.718967	 0.014377	 0.013590	 0.006515
2	 86.718967	 -0.004786	 -0.016056	 0.002306
1	 86.728967	 0.014188	 0.014163	 0.004611
2	 86.728967	 -0.005706	 -0.018255	 0.005902
1	 86.738967	 0.015250	 0.012458	 -0.001260
2	 86.738967	 -0.001217	 -0.022510	 -0.000107
1	 86.748967	 0.015062	 0.013905	 -0.002330
2	 86.748967	 -0.003865	 -0.025606	 0.003430
1	 86.748967	 0.016866	 0.012889	 -0.002994
2	 86.748967	 -0.004600	 -0.026255	 0.008111
1	 86.758967	 -0.000000	 -0.000000	 0.000000
2	 86.758967	 -0.000000	 0.000000	 0.000000
1	 86.768967	 0.000554	 0.001863	 0.002054
2	 86.768967	 0.002512	 0.001611	 0.009797
1	 86.778967	 0.003877	 0.002445	 0.000177
2	 86.778967	 0.003405	 -0.000635	 0.012513
1	 86.788967	 0.002512	 0.000377	 -0.006987
2	 86.788967	 0.000620	 -0.004960	 0.012210
1	 86.798967	 0.004964	 0.000072	 -0.008011
2	 86.798967	 -0.000241	 -0.007222	 0.014008
1	 86.798967	 -0.003675	 0.002237	 -0.011256
2	 86.798967	 0.004781	 -0.007816	 0.016808
1	 86.808967	 -0.003024	 0.002797	 -0.012328
2	 86.808967	 0.004807	 -0.011818	 0.020373
1	 86.818967	 -0.005335	 0.005431	 -0.010068
2	 86.818967	 0.015745	 -0.014198	 0.020930
1	 86.828967	 -0.002960	 0.006887	 -0.011133
2	 86.828967	 0.016742	 -0.017348	 0.024468
1	 86.838967	 -0.007356	 0.010858	 -0.005480
2	 86.838967	 0.023529	 -0.017029	 0.031732
1	 86.848967	 0.000000	 0.000000	 0.000000
2	 86.848967	 -0.000000	 -0.000000	 0.000000
1	 86.848967	 -0.004923	 0.000896	 -0.000357
2	 86.848967	 -0.005041	 0.002317	 0.008540
1	 86.858967	 -0.006135	 0.004123	 -0.001462
2	 86.858967	 -0.005747	 -0.001699	 0.010348
1	 86.868967	 -0.003966	 0.004194	 0.000329
2	 86.868967	 -0.007865	 -0.000458	 0.019515
1	 86.878967	 -0.002542	 0.005691	 -0.000706
2	 86.878967	 -0.007714	 -0.003564	 0.023083
1	 86.888967	 -0.003944	 0.004543	 -0.003553
2	 86.888967	 -0.010912	 -0.010077	 0.013017
1	 86.898967	 -0.002522	 0.005139	 -0.005455
2	 86.898967	 -0.010784	 -0.012347	 0.016520
1	 86.898967	 -0.006754	 0.004118	 -0.010910
2	 86.898967	 -0.000632	 -0.014745	 0.018002
1	 86.908967	 -0.006248	 0.004717	 -0.011970
2	 86.908967	 -0.001295	 -0.017034	 0.020597
1	 86.918967	 -0.012196	 0.005453	 -0.015580
2	 86.918967	 0.003639	 -0.017303	 0.031258
1	 86.928967	 0.000000	 0.000000	 0.000000
2	 86.928967	 0.000000	 0.000000	 0.000000
1	 86.938967	 -0.003448	 0.003564	 0.003238
2	 86.938967	 0.005738	 -0.003114	 -0.005135
1	 86.948967	 -0.001259	 0.003317	 0.002218
2	 86.948967	 0.006026	 -0.005420	 -0.002546
1	 86.948967	 -0.143945	 -0.129209	 0.325490
2	 86.948967	 0.004754	 -0.006733	 -0.001547
1	 86.958967	 -0.143644	 -0.128641	 0.325744
2	 86.958967	 0.005015	 -0.009015	 0.002782
1	 86.968967	 -0.143213	 -0.128885	 0.325186
2	 86.968967	 0.003170	 0.416644	 -0.894410
1	 86.978967	 -0.144655	 -0.127472	 0.324531
2	 86.978967	 0.002579	 0.417371	 -0.892884
1	 86.988967	 -0.145262	 -0.127637	 0.325883
2	 86.988967	 0.001633	 0.417254	 -0.893896
1	 86.998967	 -0.144965	 -0.127920	 0.327033
2	 86.998967	 0.001051	 0.417951	 -0.894118
1	 86.998967	 -0.146161	 -0.128434	 0.320277
2	 86.998967	 -0.000085	 0.418400	 -0.904595
1	 87.008967	 0.000000	 -0.000000	 -0.000000
2	 87.008967	 -0.000000	 0.000000	 0.000000
1	 87.018967	 0.000543	 -0.000256	 0.000848
2	 87.018967	 0.000560	 0.000299	 -0.014220
1	 87.028967	 -0.000021	 0.000287	 0.000220
2	 87.028967	 -0.000905	 0.000131	 -0.014427
1	 87.028967	 -0.000842	 0.000203	 0.001591
2	 87.038967	 -0.002400	 0.001424	 0.005329
1	 87.038967	 -0.000526	 0.001602	 0.000076
2	 87.048967	 -0.002107	 0.001210	 0.003383
1	 87.048967	 -0.000384	 0.000611	 0.001760
2	 87.048967	 -0.003193	 -0.000992	 -0.007466
1	 87.058967	 -0.000957	 0.001176	 0.002006
2	 87.058967	 -0.002027	 -0.000312	 -0.007674
1	 87.068967	 0.000146	 0.000029	 -0.000044
2	 87.068967	 -0.001322	 -0.000291	 0.000208
1	 87.078967	 -0.000410	 0.000551	 -0.001545
2	 87.078967	 -0.000160	 0.000404	 0.000875
1	 87.088967	 -0.001133	 0.001315	 0.001206
2	 87.088967	 0.000357	 0.000160	 -0.004585
1	 87.088967	 0.000000	 -0.000000	 0.000000
2	 87.098967	 0.000000	 0.000000	 -0.000000
1	 87.098967	 0.000526	 -0.000431	 -0.005205
2	 87.098967	 0.000527	 0.001014	 0.008148
1	 87.108967	 0.000831	 -0.000736	 -0.004929
2	 87.108967	 0.000810	 0.000829	 0.007950
1	 87.118967	 0.001184	 -0.001813	 -0.003500
2	 87.118967	 0.001850	 0.001758	 0.016700
1	 87.128967	 0.001491	 -0.000392	 -0.004141
2	 87.128967	 0.002129	 0.001588	 0.017376
1	 87.138967	 0.002054	 -0.000592	 -0.000693
2	 87.138967	 0.000503	 0.001552	 0.020126
1	 87.138967	 0.001498	 -0.000071	 -0.002195
2	 87.148967	 0.002530	 0.001363	 0.020811
1	 87.148967	 0.000954	 -0.000421	 -0.006393
2	 87.148967	 0.002431	 0.000985	 0.012390
1	 87.158967	 0.001247	 0.000170	 -0.005265
2	 87.158967	 0.002719	 0.001688	 0.013052
1	 87.168967	 0.001519	 0.000818	 -0.004447
2	 87.168967	 0.003309	 0.001458	 0.010873
1	 87.178967	 -0.000000	 -0.000000	 0.000000
2	 87.178967	 -0.000000	 0.000000	 -0.000000
1	 87.188967	 -0.000576	 -0.000178	 0.000896
2	 87.188967	 0.000583	 0.000760	 0.001888
