DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn
1	 53212.519600	 0.000000	 -0.000000	 -0.000000	 -0.150115	 -0.263278	 9.905030	 0.000035	 -0.005518	 -0.005468	 0.062500	 0.475098	 -0.288330
1	 53212.519600	 -0.000708	 -0.000153	 -0.000512	 -0.061637	 -0.291439	 9.905360	 0.001833	 -0.000014	 -0.005493	 0.062744	 0.472900	 -0.290527
1	 53212.529600	 -0.003113	 -0.001184	 0.000051	 -0.178727	 -0.292861	 9.905284	 -0.001819	 -0.001859	 -0.003654	 0.066895	 0.475098	 -0.288330
1	 53212.539600	 0.003206	 -0.004761	 0.000443	 -0.061270	 -0.289494	 10.051859	 0.016525	 -0.007241	 -0.003623	 0.067139	 0.470703	 -0.292480
1	 53212.549600	 -0.000934	 0.006355	 -0.002090	 -0.120878	 -0.235483	 9.582558	 -0.005635	 0.023736	 -0.007436	 0.064941	 0.472900	 -0.288330
1	 53212.560000	 0.001015	 0.000976	 -0.002463	 -0.120449	 -0.321680	 9.759138	 0.007394	 -0.010966	 -0.005440	 0.062500	 0.475098	 -0.290527
1	 53212.560000	 0.002962	 0.004346	 -0.001880	 -0.092025	 -0.233391	 9.699773	 0.007281	 0.007352	 -0.003693	 0.067139	 0.468506	 -0.290527
1	 53212.569600	 -0.002128	 0.005914	 -0.002397	 -0.150636	 -0.263956	 9.641405	 -0.007344	 0.003591	 -0.005513	 0.066895	 0.479492	 -0.292725
1	 53212.579600	 -0.002677	 0.001418	 -0.001540	 -0.120997	 -0.290403	 9.934651	 0.001889	 -0.009161	 -0.003619	 0.060547	 0.470703	 -0.290527
1	 53212.589600	 -0.001615	 -0.000443	 -0.001142	 -0.090918	 -0.317671	 10.081437	 0.005517	 -0.003645	 -0.003643	 0.064941	 0.470703	 -0.292480
1	 53212.599600	 0.000000	 -0.000000	 0.000000	 -0.120727	 -0.290895	 9.817489	 0.001754	 0.012803	 -0.005552	 0.064941	 0.468506	 -0.292480
1	 53212.603967	 0.001956	 -0.006253	 -0.000343	 -0.149742	 -0.319089	 9.934935	 0.007406	 -0.012797	 -0.005431	 0.064941	 0.472900	 -0.288330
1	 53212.609600	 0.003956	 -0.002974	 -0.005066	 -0.091550	 -0.260270	 9.817265	 0.007281	 0.007344	 -0.005525	 0.062744	 0.472900	 -0.290527
1	 53212.619600	 -0.000279	 0.002996	 -0.004863	 -0.180401	 -0.234221	 9.582549	 -0.005572	 0.012765	 -0.003725	 0.064697	 0.477295	 -0.292480
1	 53212.629600	 0.002563	 -0.003192	 -0.003109	 -0.091959	 -0.289626	 9.788244	 0.009238	 -0.012777	 -0.003598	 0.060303	 0.475098	 -0.296875
1	 53212.639600	 0.003591	 0.000190	 -0.002882	 -0.092467	 -0.230443	 9.787707	 0.005449	 0.007341	 -0.003695	 0.067139	 0.472900	 -0.286133
1	 53212.649600	 0.000303	 -0.001734	 -0.003489	 -0.120868	 -0.317789	 9.876407	 -0.003636	 -0.003711	 -0.005477	 0.062500	 0.475098	 -0.294678
1	 53212.649600	 0.002230	 -0.003618	 -0.003975	 -0.120974	 -0.287790	 9.934728	 0.007350	 -0.003642	 -0.005473	 0.064941	 0.472900	 -0.292480
1	 53212.659600	 0.002426	 -0.003713	 -0.003531	 -0.121138	 -0.258605	 9.875871	 0.003663	 0.000015	 -0.001830	 0.062744	 0.472900	 -0.292480
1	 53212.669600	 0.003465	 -0.002078	 -0.003248	 -0.150103	 -0.289024	 9.758957	 0.005471	 0.003679	 -0.003678	 0.064697	 0.477295	 -0.292480
1	 53212.679600	 0.000000	 0.000000	 0.000000	 -0.092002	 -0.258749	 9.729436	 0.007327	 0.000020	 -0.005490	 0.060303	 0.477295	 -0.288330
