DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn
1	 3.529600	 0.101479	 0.240667	 0.007809	 2.433698	 -3.910457	 8.778134	 0.168400	 0.317705	 0.066284	 0.429932	 0.028564	 -0.444336
1	 3.539600	 0.137146	 0.377091	 -0.042634	 2.030215	 -3.637721	 8.324709	 0.050502	 0.301638	 0.009960	 0.429932	 0.026367	 -0.446777
1	 3.539600	 0.148983	 0.472069	 -0.094591	 1.432982	 -3.496935	 7.846165	 0.002273	 0.221456	 -0.019361	 0.429932	 0.028564	 -0.446777
1	 3.549600	 0.183131	 0.552707	 -0.149189	 1.332539	 -3.650506	 7.650866	 0.044419	 0.201872	 -0.045421	 0.429688	 0.034912	 -0.444580
1	 3.559600	 0.268370	 0.630193	 -0.208265	 1.575662	 -3.857984	 8.006590	 0.150130	 0.205583	 -0.076353	 0.431885	 0.028564	 -0.448975
1	 3.559600	 0.416881	 0.706181	 -0.262916	 1.987071	 -3.717815	 8.646541	 0.287250	 0.212119	 -0.085697	 0.427734	 0.030762	 -0.444580
1	 3.569600	 0.604623	 0.789039	 -0.313790	 2.492781	 -3.921828	 9.035913	 0.363720	 0.226452	 -0.097921	 0.436279	 0.028564	 -0.446777
1	 3.579600	 0.801130	 0.871816	 -0.361780	 2.867050	 -3.955974	 9.222232	 0.387599	 0.228959	 -0.089114	 0.434082	 0.028564	 -0.444336
1	 3.589600	 0.992269	 0.948178	 -0.380468	 2.784575	 -3.596733	 9.463350	 0.383532	 0.189362	 -0.044403	 0.429932	 0.026367	 -0.446777
1	 3.599600	 1.151449	 1.007931	 -0.374913	 2.408497	 -3.289256	 9.532130	 0.333969	 0.139822	 0.010208	 0.432373	 0.022217	 -0.444336
1	 3.609600	 0.000000	 0.000000	 -0.000000	 2.060549	 -2.995430	 9.390113	 0.245787	 0.087265	 0.046997	 0.436523	 0.024170	 -0.446533
1	 3.609600	 0.066595	 0.020300	 0.033569	 1.843468	 -2.875750	 9.336443	 0.152141	 0.025123	 0.067593	 0.434326	 0.024170	 -0.446533
1	 3.619600	 0.095712	 0.025194	 0.071903	 1.810745	 -2.873375	 9.252000	 0.074444	 -0.020475	 0.073037	 0.434326	 0.022217	 -0.441895
1	 3.629600	 0.099698	 0.017764	 0.101788	 1.873512	 -2.923822	 9.312744	 0.023422	 -0.036459	 0.064738	 0.440918	 0.022217	 -0.439697
1	 3.639600	 0.099109	 0.019863	 0.127325	 1.914230	 -3.220130	 9.208487	 0.008340	 -0.020476	 0.057187	 0.432373	 0.020020	 -0.446533
1	 3.649600	 0.088918	 0.001186	 0.147353	 1.763275	 -3.210493	 8.946191	 -0.014889	 -0.056234	 0.038094	 0.434326	 0.022217	 -0.444336
1	 3.659600	 0.078517	 -0.029470	 0.165921	 1.531355	 -3.130195	 9.033618	 -0.014528	 -0.080412	 0.022160	 0.432373	 0.020020	 -0.444336
1	 3.659600	 0.067406	 -0.077525	 0.185806	 1.494501	 -3.388983	 9.220910	 -0.013945	 -0.109824	 0.017336	 0.436768	 0.015869	 -0.448730
1	 3.669600	 0.047353	 -0.128085	 0.205453	 1.564025	 -3.447008	 9.220078	 -0.033904	 -0.121360	 0.012322	 0.434570	 0.020020	 -0.446533
1	 3.679600	 0.015632	 -0.186911	 0.218139	 1.511099	 -3.397550	 9.157308	 -0.065091	 -0.127890	 -0.003662	 0.429932	 0.024170	 -0.444336
1	 3.689600	 0.000000	 -0.000000	 -0.000000	 1.428699	 -3.322095	 9.093206	 -0.094459	 -0.138205	 -0.026897	 0.434570	 0.020020	 -0.441895
1	 3.699600	 -0.061736	 -0.075530	 -0.007677	 1.440842	 -3.298403	 9.145590	 -0.130910	 -0.153916	 -0.038919	 0.434326	 0.022217	 -0.444336
1	 3.709600	 -0.144372	 -0.162165	 -0.007751	 1.459620	 -3.364167	 9.229625	 -0.170406	 -0.185738	 -0.030388	 0.427979	 0.022217	 -0.446533
1	 3.709600	 -0.261053	 -0.267015	 -0.004618	 1.533881	 -3.378325	 9.190336	 -0.240875	 -0.225607	 -0.023086	 0.429932	 0.024170	 -0.444336
1	 3.719600	 -0.403179	 -0.376842	 -0.001982	 1.663740	 -3.431731	 8.943140	 -0.291799	 -0.241372	 -0.022029	 0.429932	 0.024170	 -0.446533
1	 3.729600	 -0.553989	 -0.477378	 -0.002013	 1.856329	 -3.539451	 8.782147	 -0.314095	 -0.221587	 -0.014730	 0.432129	 0.026367	 -0.448975
1	 3.740000	 -0.700621	 -0.559520	 -0.005962	 2.024427	 -3.793400	 8.655319	 -0.303908	 -0.182849	 -0.011919	 0.429932	 0.026367	 -0.448975
1	 3.749600	 -0.828952	 -0.622987	 -0.007894	 2.190912	 -4.013227	 8.615060	 -0.269698	 -0.145237	 0.001529	 0.427734	 0.028564	 -0.446777
1	 3.759600	 -0.930879	 -0.669253	 -0.002017	 2.261578	 -4.146713	 8.547262	 -0.207795	 -0.114297	 0.018266	 0.423340	 0.028564	 -0.446777
1	 3.759600	 -1.000873	 -0.703945	 0.012842	 2.234225	 -4.134111	 8.451825	 -0.140187	 -0.092406	 0.035026	 0.427490	 0.032715	 -0.455811
1	 3.770000	 -0.000000	 0.000000	 -0.000000	 2.206645	 -4.054923	 8.474806	 -0.071012	 -0.070694	 0.037093	 0.418945	 0.030518	 -0.451416
1	 3.779600	 -0.025511	 -0.019050	 0.016879	 2.173822	 -3.914422	 8.469338	 -0.036579	 -0.049724	 0.041655	 0.423340	 0.028564	 -0.453613
1	 3.789600	 -0.033810	 -0.029372	 0.040765	 2.175404	 -3.856689	 8.524829	 -0.007268	 -0.045357	 0.046527	 0.421143	 0.028564	 -0.448975
1	 3.799600	 -0.029148	 -0.040545	 0.066461	 2.203259	 -3.737157	 8.578748	 0.021859	 -0.037407	 0.045855	 0.425537	 0.028564	 -0.453613
1	 3.809600	 -0.012181	 -0.037658	 0.087243	 2.292718	 -3.761181	 8.576523	 0.043236	 -0.013189	 0.041455	 0.425537	 0.028564	 -0.451172
1	 3.809600	 0.017763	 -0.030484	 0.104514	 2.266078	 -3.786807	 8.638653	 0.068361	 0.005583	 0.035215	 0.425537	 0.028564	 -0.446777
1	 3.819600	 0.058010	 -0.013232	 0.113551	 2.295615	 -3.809009	 8.670267	 0.085946	 0.027758	 0.021745	 0.427734	 0.026367	 -0.448975
1	 3.829600	 0.110226	 0.003544	 0.125152	 2.203753	 -3.716653	 8.733459	 0.106121	 0.026344	 0.021368	 0.418945	 0.030518	 -0.453613
1	 3.839600	 0.164005	 0.020191	 0.128258	 2.169437	 -3.651676	 8.736881	 0.111141	 0.033539	 0.004678	 0.429688	 0.030518	 -0.455811
1	 3.849600	 0.213801	 0.035111	 0.123987	 2.137007	 -3.584538	 8.798932	 0.110839	 0.044467	 0.000858	 0.427734	 0.028564	 -0.451172
1	 3.859600	 0.000000	 0.000000	 0.000000	 2.134745	 -3.576255	 8.832004	 0.088618	 0.049392	 -0.006118	 0.425781	 0.024170	 -0.446533
1	 3.859600	 0.037169	 0.023553	 -0.010453	 2.101810	 -3.571565	 8.836406	 0.068293	 0.056270	 -0.007671	 0.427734	 0.026367	 -0.451172
1	 3.869600	 0.068070	 0.051611	 -0.024311	 2.100082	 -3.625311	 8.841155	 0.057082	 0.065166	 -0.009434	 0.423340	 0.026367	 -0.451172
1	 3.879600	 0.095359	 0.074537	 -0.038347	 1.979942	 -3.655242	 8.849219	 0.051669	 0.061391	 -0.009273	 0.430176	 0.022217	 -0.448730
1	 3.890000	 0.132181	 0.098978	 -0.055289	 1.917360	 -3.653013	 8.854220	 0.067948	 0.061548	 -0.020566	 0.425781	 0.024170	 -0.451172
1	 3.900000	 0.174756	 0.119910	 -0.071761	 1.914652	 -3.646410	 8.886598	 0.073350	 0.059707	 -0.027962	 0.432129	 0.026367	 -0.448975
1	 3.910000	 0.216851	 0.143957	 -0.093306	 1.968424	 -3.638941	 8.858502	 0.076830	 0.065211	 -0.031782	 0.423828	 0.020020	 -0.444092
1	 3.910000	 0.264556	 0.168317	 -0.109340	 1.969804	 -3.657674	 8.980013	 0.082456	 0.063592	 -0.026358	 0.429932	 0.028564	 -0.451172
1	 3.919600	 0.298352	 0.182923	 -0.118583	 1.994077	 -3.560728	 9.037522	 0.064963	 0.035975	 -0.012747	 0.432373	 0.020020	 -0.448730
1	 3.929600	 0.338139	 0.190573	 -0.114171	 1.930541	 -3.530639	 8.982562	 0.078562	 0.014612	 0.005722	 0.429688	 0.030518	 -0.448975
1	 3.939600	 0.000000	 0.000000	 -0.000000	 1.963887	 -3.701980	 8.931673	 0.064152	 0.016438	 0.022422	 0.425781	 0.024170	 -0.446533
1	 3.949600	 0.022232	 0.014423	 0.006484	 2.018157	 -3.697805	 8.873258	 0.053132	 0.023668	 0.029804	 0.430176	 0.022217	 -0.446533
1	 3.959600	 0.059926	 0.034563	 0.019658	 2.042629	 -3.602106	 8.930057	 0.082366	 0.029840	 0.032858	 0.427734	 0.026367	 -0.451172
1	 3.959600	 0.108352	 0.049478	 0.042228	 1.978969	 -3.569982	 8.904970	 0.108481	 0.017804	 0.045471	 0.429932	 0.024170	 -0.451172
1	 3.969600	 0.154496	 0.068672	 0.068012	 1.947815	 -3.562895	 8.938709	 0.104901	 0.019704	 0.052821	 0.432373	 0.020020	 -0.444336
1	 3.979600	 0.196621	 0.085361	 0.092215	 1.886738	 -3.589262	 8.915786	 0.090273	 0.015671	 0.049480	 0.430176	 0.020020	 -0.446533
1	 3.989600	 0.243679	 0.097061	 0.118521	 1.996025	 -3.492716	 8.852856	 0.106950	 0.004979	 0.047587	 0.428223	 0.017822	 -0.446533
1	 3.999600	 0.323449	 0.111442	 0.159737	 2.058667	 -3.411276	 9.115868	 0.171267	 0.006558	 0.061140	 0.434082	 0.026367	 -0.455811
1	 4.009600	 0.389571	 0.120166	 0.209171	 1.972271	 -3.430154	 9.183188	 0.155564	 -0.015295	 0.082020	 0.432373	 0.017822	 -0.446533
1	 4.009600	 0.434077	 0.119224	 0.251689	 1.934277	 -3.341286	 9.037490	 0.109967	 -0.030984	 0.075796	 0.427979	 0.020020	 -0.455566
1	 4.019600	 -0.000000	 0.000000	 -0.000000	 2.013521	 -3.189530	 8.942456	 0.085681	 -0.020827	 0.059486	 0.432617	 0.013672	 -0.450928
1	 4.029600	 0.029377	 0.000214	 0.030654	 1.928135	 -3.122569	 9.090886	 0.070771	 -0.013949	 0.052252	 0.430420	 0.015869	 -0.446289
1	 4.039600	 0.036041	 -0.012400	 0.060978	 1.814734	 -3.243770	 9.042584	 0.025670	 -0.051444	 0.052055	 0.423828	 0.017822	 -0.448730
1	 4.050000	 0.029816	 -0.031502	 0.086869	 1.820115	 -3.394097	 8.960996	 -0.005505	 -0.057717	 0.043576	 0.427979	 0.017822	 -0.453369
1	 4.059600	 0.023970	 -0.052846	 0.108076	 1.856202	 -3.512333	 8.935003	 -0.003758	 -0.063435	 0.032685	 0.426025	 0.017822	 -0.448730
1	 4.059600	 0.026008	 -0.078340	 0.130733	 1.924742	 -3.563259	 9.051736	 0.016383	 -0.063076	 0.032319	 0.426025	 0.015625	 -0.448730
1	 4.070000	 0.027180	 -0.095155	 0.157056	 2.024273	 -3.579238	 9.254012	 0.012813	 -0.057390	 0.043244	 0.423828	 0.015625	 -0.450928
1	 4.080000	 0.009294	 -0.110767	 0.192559	 2.171150	 -3.547624	 9.216817	 -0.023415	 -0.055640	 0.067682	 0.428223	 0.015625	 -0.450928
1	 4.089600	 -0.030764	 -0.122826	 0.230678	 2.112839	 -3.495982	 9.213969	 -0.066926	 -0.063334	 0.085153	 0.421631	 0.015625	 -0.446289
1	 4.099600	 -0.089454	 -0.144100	 0.276548	 1.819903	 -3.548621	 9.105798	 -0.104781	 -0.083825	 0.099155	 0.426025	 0.017822	 -0.457764
1	 4.110000	 0.000000	 0.000000	 0.000000	 1.526081	 -3.607012	 8.908768	 -0.131791	 -0.132337	 0.080606	 0.428223	 0.017822	 -0.448730
1	 4.110000	 -0.074440	 -0.074081	 0.035379	 1.524241	 -3.630589	 8.610291	 -0.135272	 -0.180731	 0.048753	 0.425781	 0.021973	 -0.451172
1	 4.120000	 -0.133235	 -0.153436	 0.061673	 1.703483	 -3.491678	 8.502992	 -0.110135	 -0.188322	 0.017253	 0.419434	 0.017822	 -0.448730
1	 4.129600	 -0.180557	 -0.195413	 0.066201	 2.270138	 -3.328751	 8.614223	 -0.089920	 -0.092926	 0.007505	 0.426025	 0.017822	 -0.444092
1	 4.139600	 -0.252785	 -0.201719	 0.065185	 2.443075	 -3.217444	 8.538930	 -0.149185	 -0.027533	 0.027596	 0.423584	 0.024170	 -0.451172
