DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn
2	 5.458967	 0.016798	 -0.001726	 -0.004556	 -0.556927	 9.540652	 2.301053	 0.026514	 -0.014093	 0.018773	 -0.498779	 -0.406250	 -0.293945
1	 5.458967	 -0.000102	 0.007501	 -0.011156	 9.900075	 0.105118	 -0.237040	 -0.002123	 0.004863	 -0.011234	 -0.469971	 0.412354	 -0.076172
2	 5.468967	 0.022837	 -0.010843	 -0.007803	 -0.556675	 9.567924	 2.359283	 0.013648	 -0.015502	 0.018381	 -0.494629	 -0.401855	 -0.294189
1	 5.468967	 -0.001763	 0.008267	 -0.008906	 9.873296	 0.071544	 -0.262545	 0.005285	 0.003361	 -0.011207	 -0.465332	 0.410156	 -0.071777
2	 5.478967	 0.031568	 -0.006976	 -0.015055	 -0.562067	 9.507363	 2.414461	 0.004551	 -0.015163	 0.016301	 -0.498779	 -0.406250	 -0.296387
1	 5.488967	 0.002655	 0.012652	 -0.028457	 9.849394	 0.011711	 -0.255993	 -0.004029	 0.006698	 -0.009477	 -0.471924	 0.410156	 -0.076172
2	 5.488967	 0.034181	 -0.013395	 -0.018684	 -0.533476	 9.448392	 2.383852	 0.006486	 -0.015148	 0.012689	 -0.503418	 -0.395508	 -0.294189
1	 5.488967	 0.004643	 0.015163	 -0.032282	 9.819987	 0.006943	 -0.284566	 -0.007189	 -0.004338	 -0.007085	 -0.465332	 0.410156	 -0.071777
2	 5.488967	 0.041953	 -0.017268	 -0.023587	 -0.534356	 9.391423	 2.351292	 0.013851	 -0.017145	 0.009185	 -0.494629	 -0.401855	 -0.294189
1	 5.498967	 0.008254	 0.025541	 -0.048178	 9.900057	 0.108266	 -0.236385	 -0.003699	 -0.000610	 -0.009123	 -0.465332	 0.410156	 -0.078369
2	 5.498967	 0.046319	 -0.020542	 -0.028984	 -0.558903	 9.452046	 2.351437	 0.010296	 -0.016949	 0.005424	 -0.499023	 -0.399902	 -0.298828
1	 5.498967	 0.008067	 0.024033	 -0.047789	 9.931642	 0.079592	 -0.263010	 0.001562	 0.005295	 -0.005773	 -0.465576	 0.414551	 -0.078369
2	 5.508967	 0.050152	 -0.012709	 -0.019649	 -0.585500	 9.511371	 2.381147	 0.005022	 -0.014825	 -0.000176	 -0.498779	 -0.406250	 -0.296387
1	 5.508967	 0.010001	 0.008034	 -0.048908	 9.955560	 0.140629	 -0.268084	 0.006408	 0.020335	 -0.002864	 -0.469971	 0.412354	 -0.078369
2	 5.508967	 0.040795	 -0.006780	 -0.025280	 -0.612879	 9.570364	 2.411992	 -0.018402	 -0.013776	 -0.013635	 -0.505127	 -0.404053	 -0.293945
1	 5.518967	 0.007602	 -0.004413	 -0.042751	 9.926880	 0.143665	 -0.207363	 0.013514	 0.026501	 0.004133	 -0.465332	 0.412354	 -0.071777
2	 5.518967	 0.023908	 0.006114	 -0.039032	 -0.617192	 9.539241	 2.442536	 -0.045843	 -0.011074	 -0.012504	 -0.494141	 -0.410400	 -0.289307
1	 5.518967	 0.013134	 -0.014864	 -0.052749	 9.868576	 0.138009	 -0.204313	 0.015435	 0.024845	 0.006037	 -0.465332	 0.407959	 -0.073975
2	 5.528967	 -0.001295	 0.010492	 -0.044944	 -0.616191	 9.539402	 2.417253	 -0.051559	 -0.016422	 -0.010943	 -0.503174	 -0.404053	 -0.296387
1	 5.528967	 0.010408	 -0.030386	 -0.048466	 9.868632	 0.137428	 -0.201990	 0.009617	 0.031998	 0.007557	 -0.471924	 0.410156	 -0.078369
2	 5.538967	 0.000000	 0.000000	 -0.000000	 -0.624299	 9.421561	 2.415749	 -0.042307	 -0.016647	 -0.014359	 -0.496826	 -0.401855	 -0.294189
1	 5.538967	 0.000000	 0.000000	 -0.000000	 9.895237	 0.168357	 -0.202745	 0.002381	 0.029935	 0.009534	 -0.467773	 0.414551	 -0.082520
2	 5.548967	 -0.015562	 0.005778	 -0.006955	 -0.594028	 9.448026	 2.421627	 -0.031328	 -0.017009	 -0.014065	 -0.505615	 -0.395508	 -0.294189
1	 5.548967	 -0.001801	 -0.017066	 -0.003648	 9.895499	 0.170370	 -0.170981	 -0.006935	 0.033271	 0.011258	 -0.474121	 0.407959	 -0.076172
2	 5.548967	 -0.029308	 0.008391	 -0.016340	 -0.592974	 9.476563	 2.425391	 -0.027733	 -0.020751	 -0.015882	 -0.496582	 -0.404053	 -0.289551
1	 5.558967	 -0.009894	 -0.033353	 -0.010317	 9.866019	 0.161070	 -0.225801	 -0.014583	 0.040344	 0.012788	 -0.467529	 0.405762	 -0.076172
