DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn	 q0	 q1	 q2	 q3
2	 3.820000	 0.023272	 -0.002741	 0.004952	 -1.260122	 -8.823928	 4.127896	 0.049615	 -0.018984	 0.004530	 0.394775	 0.380371	 0.143066	 1.000000	 0.000203	 -0.000024	 0.000043
1	 3.820000	 0.045606	 -0.025641	 0.225002	 1.076921	 -8.887762	 4.116192	 0.047414	 -0.002983	 -0.027291	 0.355469	 0.509033	 0.080322	 0.999998	 0.000398	 -0.000223	 0.001964
2	 3.830000	 0.043134	 -0.003755	 0.008610	 -1.213379	 -8.860203	 4.157349	 0.043884	 -0.014718	 0.010584	 0.396729	 0.384766	 0.152100	 1.000000	 0.000376	 -0.000033	 0.000075
1	 3.830000	 0.065289	 -0.035332	 0.218815	 1.139796	 -8.912319	 4.037170	 0.039275	 0.007735	 -0.030081	 0.355225	 0.513428	 0.078125	 0.999998	 0.000570	 -0.000307	 0.001910
2	 3.840000	 0.060754	 -0.004064	 0.011996	 -1.219170	 -8.869869	 4.121053	 0.038911	 -0.013322	 0.007370	 0.390381	 0.382568	 0.149902	 1.000000	 0.000530	 -0.000035	 0.000105
1	 3.850000	 0.073657	 -0.046736	 0.319253	 1.141796	 -8.910953	 4.039619	 0.023229	 0.019243	 -0.036008	 0.353027	 0.513428	 0.080322	 0.999996	 0.000644	 -0.000406	 0.002786
2	 3.850000	 0.081448	 -0.004825	 0.013903	 -1.196628	 -8.902881	 4.065683	 0.046074	 -0.011378	 0.009678	 0.392578	 0.382568	 0.145264	 1.000000	 0.000711	 -0.000042	 0.000121
1	 3.860000	 0.082477	 -0.053623	 0.304805	 1.117701	 -8.935248	 4.061475	 0.014693	 0.023473	 -0.031077	 0.355225	 0.513428	 0.082275	 0.999996	 0.000721	 -0.000466	 0.002660
2	 3.860000	 0.111470	 -0.009954	 0.012390	 -1.227759	 -8.905861	 4.119190	 0.063104	 -0.016991	 -0.000307	 0.392334	 0.386963	 0.149658	 1.000000	 0.000973	 -0.000087	 0.000108
1	 3.860000	 0.086687	 -0.063564	 0.419127	 1.048203	 -9.005394	 4.095164	 0.009353	 0.029572	 -0.039660	 0.357422	 0.513428	 0.084473	 0.999993	 0.000759	 -0.000552	 0.003658
2	 3.860000	 0.143755	 -0.017807	 0.008595	 -1.286476	 -8.839862	 4.092908	 0.071646	 -0.009394	 -0.007471	 0.394531	 0.384766	 0.149658	 0.999999	 0.001255	 -0.000155	 0.000075
1	 3.870000	 0.092591	 -0.069311	 0.401090	 1.009440	 -9.004685	 4.086961	 0.007764	 0.030609	 -0.031826	 0.353027	 0.513428	 0.080322	 0.999993	 0.000810	 -0.000602	 0.003501
2	 3.870000	 0.180465	 -0.030739	 -0.000609	 -1.296352	 -8.859976	 4.019643	 0.079135	 -0.013381	 -0.019605	 0.398926	 0.386963	 0.149658	 0.999999	 0.001575	 -0.000268	 -0.000005
1	 3.870000	 0.099582	 -0.074346	 0.551261	 1.038050	 -9.019562	 4.061190	 0.018276	 0.028985	 -0.030349	 0.350830	 0.511230	 0.084473	 0.999988	 0.000872	 -0.000645	 0.004811
2	 3.870000	 0.215253	 -0.047404	 -0.005511	 -1.306965	 -8.831810	 4.020003	 0.077118	 -0.015463	 -0.024987	 0.398926	 0.382568	 0.147461	 0.999998	 0.001878	 -0.000414	 -0.000047
1	 3.880000	 0.118862	 -0.080853	 0.538545	 0.984465	 -8.992935	 4.025000	 0.036890	 0.022803	 -0.029862	 0.357666	 0.509033	 0.082275	 0.999988	 0.001041	 -0.000701	 0.004700
2	 3.880000	 0.247639	 -0.060011	 -0.009483	 -1.246615	 -8.799730	 4.030615	 0.074153	 -0.011979	 -0.022797	 0.392334	 0.384766	 0.145264	 0.999998	 0.002161	 -0.000524	 -0.000082
1	 3.890000	 0.136175	 -0.086274	 0.650152	 1.084594	 -8.935961	 3.968710	 0.044494	 0.020119	 -0.032868	 0.354980	 0.520020	 0.084473	 0.999983	 0.001193	 -0.000746	 0.005675
2	 3.890000	 0.274488	 -0.072813	 -0.018405	 -1.202223	 -8.770237	 4.065220	 0.061672	 -0.002661	 -0.021877	 0.396729	 0.386963	 0.149658	 0.999997	 0.002395	 -0.000636	 -0.000159
1	 3.900000	 0.161237	 -0.094283	 0.640860	 1.126753	 -8.934169	 3.981524	 0.049772	 0.016237	 -0.030237	 0.350830	 0.513428	 0.084473	 0.999983	 0.001412	 -0.000815	 0.005594
2	 3.900000	 -0.000000	 0.000000	 0.000000	 -1.136668	 -8.852610	 3.997123	 0.044401	 0.001133	 -0.023405	 0.398682	 0.388916	 0.145020	 1.000000	 -0.000000	 0.000000	 0.000000
1	 3.900000	 0.000000	 0.000000	 0.000000	 1.181682	 -8.922608	 3.938041	 0.046428	 0.014840	 -0.030787	 0.353027	 0.513428	 0.082275	 1.000000	 0.000000	 0.000000	 0.000000
2	 3.909600	 0.021711	 -0.012424	 -0.012576	 -1.126449	 -8.981781	 3.993573	 0.051954	 0.005863	 -0.024818	 0.394531	 0.386719	 0.138184	 1.000000	 0.000189	 -0.000108	 -0.000110
1	 3.909600	 0.020761	 -0.002870	 -0.004202	 1.199042	 -8.987081	 3.964167	 0.042052	 0.010406	 -0.015531	 0.350830	 0.513428	 0.084473	 1.000000	 0.000181	 -0.000025	 -0.000037
2	 3.909600	 0.051341	 -0.028708	 -0.023345	 -1.122963	 -9.073577	 4.024522	 0.059850	 0.000714	 -0.032658	 0.392334	 0.386719	 0.140625	 1.000000	 0.000448	 -0.000251	 -0.000204
1	 3.920000	 0.041096	 -0.002646	 0.106315	 1.203129	 -8.898922	 3.952749	 0.046393	 0.008065	 -0.010966	 0.344482	 0.511230	 0.084473	 1.000000	 0.000359	 -0.000023	 0.000928
2	 3.920000	 0.083315	 -0.047774	 -0.040892	 -1.188356	 -9.047696	 3.988782	 0.074528	 0.007107	 -0.040666	 0.394531	 0.384766	 0.142822	 1.000000	 0.000727	 -0.000417	 -0.000357
1	 3.930000	 0.073991	 -0.002831	 0.106486	 1.145605	 -8.789927	 3.931814	 0.068369	 0.007243	 -0.007776	 0.355225	 0.515625	 0.075928	 0.999999	 0.000646	 -0.000024	 0.000929
2	 3.930000	 0.122571	 -0.063311	 -0.054017	 -1.141976	 -8.896452	 3.966870	 0.081683	 0.000939	 -0.031231	 0.394531	 0.384766	 0.140625	 0.999999	 0.001069	 -0.000553	 -0.000471
1	 3.940000	 0.113070	 -0.003478	 0.149901	 1.008607	 -8.721253	 3.887128	 0.082941	 0.005329	 -0.005718	 0.353027	 0.513428	 0.078125	 0.999999	 0.000987	 -0.000029	 0.001308
2	 3.940000	 0.155564	 -0.073700	 -0.067538	 -1.221015	 -8.844477	 3.926167	 0.075576	 0.006667	 -0.020572	 0.394287	 0.391113	 0.140381	 0.999999	 0.001357	 -0.000644	 -0.000589
1	 3.940000	 0.158582	 -0.003439	 0.153057	 0.992804	 -8.652216	 3.870784	 0.095341	 0.004587	 -0.005949	 0.355225	 0.515625	 0.082275	 0.999998	 0.001384	 -0.000028	 0.001336
2	 3.950000	 0.187757	 -0.076461	 -0.078134	 -1.316793	 -8.795037	 3.909394	 0.064517	 0.009855	 -0.005143	 0.392090	 0.391113	 0.147217	 0.999998	 0.001638	 -0.000668	 -0.000681
1	 3.950000	 0.196732	 -0.002372	 0.293342	 0.904217	 -8.613161	 3.893823	 0.085797	 0.012556	 -0.005068	 0.352783	 0.520020	 0.075928	 0.999995	 0.001717	 -0.000016	 0.002560
2	 3.960000	 0.209568	 -0.072634	 -0.086801	 -1.364127	 -8.755482	 3.887375	 0.051074	 0.012390	 0.009509	 0.396484	 0.388916	 0.145020	 0.999998	 0.001828	 -0.000635	 -0.000756
1	 3.960000	 0.223497	 0.005675	 0.289428	 0.911849	 -8.640813	 3.956684	 0.054634	 0.021057	 0.004724	 0.353027	 0.513428	 0.082275	 0.999995	 0.001950	 0.000054	 0.002526
