DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn	 q0	 q1	 q2	 q3
1	 117466.878000	 -0.000172	 0.000191	 0.000486	 -0.011300	 -0.037531	 9.874577	 0.001784	 0.001926	 0.001788	 1.010010	 0.300781	 -3.375000	 1.000000	 -0.000001	 0.000002	 0.000004
1	 117466.885000	 -0.001235	 0.002006	 0.001368	 0.019767	 -0.040891	 9.847568	 0.001846	 0.001823	 -0.000039	 1.003906	 0.298584	 -3.372803	 1.000000	 -0.000011	 0.000018	 0.000012
1	 117466.895000	 -0.001389	 0.001283	 0.001033	 0.015700	 -0.034136	 9.905652	 0.001833	 -0.000007	 0.000064	 1.008057	 0.300781	 -3.379639	 1.000000	 -0.000012	 0.000011	 0.000009
1	 117466.895000	 -0.002054	 0.001423	 -0.001401	 -0.009753	 -0.040302	 9.845537	 0.003769	 0.005371	 -0.002008	 1.010254	 0.296631	 -3.370361	 1.000000	 -0.000018	 0.000012	 -0.000012
1	 117466.904000	 -0.001373	 0.000738	 -0.000836	 -0.013972	 -0.033393	 9.903621	 0.003603	 0.000090	 0.001954	 1.008301	 0.296631	 -3.374756	 1.000000	 -0.000012	 0.000006	 -0.000007
1	 117466.904000	 -0.000141	 0.001103	 0.000148	 0.021247	 -0.043211	 9.818532	 0.003728	 -0.000116	 -0.001700	 1.005859	 0.300781	 -3.375244	 1.000000	 -0.000001	 0.000010	 0.000001
1	 117466.914000	 0.000573	 0.000372	 -0.000158	 -0.011968	 -0.036090	 9.874582	 0.003666	 -0.000013	 0.000127	 1.012207	 0.302734	 -3.377441	 1.000000	 0.000005	 0.000003	 -0.000001
1	 117466.914000	 -0.018768	 0.000036	 0.059279	 0.019176	 -0.039304	 9.847576	 0.003617	 0.001920	 0.001852	 1.010498	 0.294434	 -3.379150	 1.000000	 -0.000164	 0.000000	 0.000517
1	 117466.925000	 -0.019058	 0.000178	 0.059132	 0.017024	 -0.035773	 9.876618	 0.001846	 0.001823	 -0.000039	 1.010254	 0.296631	 -3.374756	 1.000000	 -0.000166	 0.000001	 0.000516
1	 117466.935967	 -0.019269	 0.000074	 0.059035	 -0.010352	 -0.038721	 9.845543	 0.001846	 0.001823	 -0.000039	 1.010254	 0.296631	 -3.376953	 1.000000	 -0.000168	 0.000001	 0.000515
1	 117466.944967	 -0.000000	 0.000000	 -0.000000	 -0.012425	 -0.035187	 9.874585	 0.003666	 -0.000013	 0.000127	 1.008057	 0.298584	 -3.375000	 1.000000	 -0.000000	 0.000000	 -0.000000
1	 117466.954733	 0.000593	 0.001969	 0.000752	 0.016135	 -0.064203	 9.879908	 0.003644	 0.005578	 0.001646	 1.012451	 0.294434	 -3.372314	 1.000000	 0.000005	 0.000017	 0.000007
1	 117466.954733	 0.000365	 0.002006	 -0.001139	 0.015839	 -0.063971	 9.879910	 0.001972	 0.001615	 -0.003693	 1.010254	 0.298584	 -3.377197	 1.000000	 0.000003	 0.000018	 -0.000010
1	 117466.965767	 0.001194	 0.001297	 0.001196	 -0.015021	 -0.031116	 9.903627	 0.003603	 0.000091	 0.001955	 1.006104	 0.298584	 -3.375000	 1.000000	 0.000010	 0.000011	 0.000010
1	 117466.975800	 0.000037	 0.002315	 0.000965	 0.018051	 -0.037794	 9.847584	 0.000027	 0.003658	 -0.000206	 1.006104	 0.296387	 -3.379395	 1.000000	 0.000000	 0.000020	 0.000008
1	 117466.984833	 0.000245	 0.003340	 -0.000079	 0.015745	 -0.034333	 9.876625	 0.003630	 0.003749	 0.001749	 1.010254	 0.296631	 -3.376953	 1.000000	 0.000002	 0.000029	 -0.000001
1	 117466.994833	 0.000825	 0.002606	 -0.000142	 -0.013634	 -0.033826	 9.874588	 0.003666	 -0.000013	 0.000128	 1.010254	 0.300781	 -3.386230	 1.000000	 0.000007	 0.000023	 -0.000001
1	 117466.994833	 0.000132	 0.002724	 -0.002952	 0.017519	 -0.037119	 9.847587	 0.001847	 0.001823	 -0.000039	 1.010254	 0.300781	 -3.386230	 1.000000	 0.000001	 0.000024	 -0.000026
1	 117467.005867	 0.001600	 0.003733	 -0.003089	 0.015292	 -0.033503	 9.876629	 0.005526	 0.003639	 -0.000015	 1.010254	 0.298584	 -3.377197	 1.000000	 0.000014	 0.000033	 -0.000027
1	 117467.015900	 0.000879	 0.003055	 -0.006022	 0.014706	 -0.062308	 9.879922	 0.001833	 -0.000007	 0.000064	 1.008057	 0.302734	 -3.379639	 1.000000	 0.000008	 0.000027	 -0.000053
1	 117467.024933	 0.000528	 0.003303	 -0.004424	 0.017063	 -0.036369	 9.847591	 0.001721	 0.002030	 0.003615	 1.008301	 0.294434	 -3.381348	 1.000000	 0.000005	 0.000029	 -0.000039
1	 117467.034933	 -0.000147	 0.003306	 -0.008961	 0.014909	 -0.032902	 9.876631	 0.001972	 0.001615	 -0.003693	 1.008301	 0.294434	 -3.381348	 1.000000	 -0.000001	 0.000029	 -0.000078
1	 117467.044000	 0.000401	 0.002626	 -0.008151	 0.018848	 -0.039305	 9.818553	 0.003603	 0.000091	 0.001955	 1.008057	 0.300781	 -3.381836	 1.000000	 0.000004	 0.000023	 -0.000071
1	 117467.044000	 -0.000387	 0.002611	 -0.011393	 -0.014028	 -0.003133	 9.871298	 0.001847	 0.001823	 -0.000039	 1.006104	 0.298584	 -3.383789	 1.000000	 -0.000003	 0.000023	 -0.000099
1	 117467.055000	 0.000199	 0.002750	 -0.011508	 0.016178	 -0.064646	 9.850890	 0.003679	 0.001816	 0.000025	 1.008057	 0.300781	 -3.379639	 1.000000	 0.000002	 0.000024	 -0.000100
1	 117467.065000	 0.000160	 0.002067	 -0.014077	 0.016537	 -0.035240	 9.847596	 0.003603	 0.000091	 0.001955	 1.006104	 0.300537	 -3.379639	 1.000000	 0.000001	 0.000018	 -0.000123
1	 117467.074000	 -0.000998	 0.003086	 -0.014308	 0.043602	 -0.031980	 9.878678	 0.000027	 0.003658	 -0.000206	 1.010254	 0.296631	 -3.383789	 1.000000	 -0.000009	 0.000027	 -0.000125
1	 117467.084000	 -0.001780	 0.002258	 -0.017506	 0.045020	 -0.064330	 9.852937	 0.001833	 -0.000007	 0.000064	 1.006104	 0.298584	 -3.383789	 1.000000	 -0.000016	 0.000020	 -0.000153
